#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
         140    -3.77702    -3.77572  5.4055e-05
         141    -3.77736    -3.77573 5.49202e-05
         142     -3.7774    -3.77574 5.57833e-05
         143    -3.77759    -3.77575 5.68694e-05
         144    -3.77747    -3.77576 5.77091e-05
         145     -3.7772    -3.77577  5.8149e-05
         146    -3.77722    -3.77578 5.85908e-05
         147     -3.7774    -3.77579 5.92114e-05
         148    -3.77727     -3.7758  5.9642e-05
         149    -3.77714    -3.77581 5.99068e-05
         150      -3.777    -3.77582 6.00279e-05
         151    -3.77686    -3.77583 6.00256e-05
         152    -3.77672    -3.77583  5.9919e-05
         153    -3.77673    -3.77584 5.98144e-05
         154    -3.77674    -3.77585 5.97104e-05
         155    -3.77659    -3.77585 5.95196e-05
         156    -3.77645    -3.77585 5.92602e-05
         157    -3.77675    -3.77586 5.91565e-05
         158     -3.7769    -3.77587 5.91472e-05
         159     -3.7769    -3.77587   5.913e-05
         160     -3.7769    -3.77588 5.91042e-05
         161    -3.77689    -3.77589  5.9069e-05
         162    -3.77718    -3.77589  5.9246e-05
         163    -3.77687     -3.7759 5.91871e-05
         164    -3.77702    -3.77591 5.92162e-05
         165    -3.77716    -3.77591 5.93398e-05
         166     -3.7773    -3.77592 5.95635e-05
         167    -3.77759    -3.77593 6.00344e-05
         168    -3.77742    -3.77594 6.03291e-05
         169    -3.77741    -3.77595 6.05947e-05
         170     -3.7774    -3.77596 6.08324e-05
         171    -3.77738    -3.77597 6.10435e-05
         172    -3.77752    -3.77598 6.13516e-05
         173    -3.77766    -3.77599 6.17601e-05
         174    -3.77749    -3.77599 6.20074e-05
         175    -3.77733      -3.776 6.21176e-05
         176    -3.77731    -3.77601 6.22085e-05
         177     -3.7773    -3.77602 6.22811e-05
         178    -3.77759    -3.77603 6.25524e-05
         179    -3.77742    -3.77603 6.26887e-05
         180    -3.77726    -3.77604 6.27107e-05
         181     -3.7774    -3.77605 6.28141e-05
         182    -3.77754    -3.77606 6.30048e-05
         183    -3.77754    -3.77606 6.31779e-05
         184    -3.77738    -3.77607 6.32372e-05
         185    -3.77737    -3.77608 6.32861e-05
         186    -3.77737    -3.77609 6.33259e-05
         187    -3.77752    -3.77609 6.34501e-05
         188    -3.77782     -3.7761 6.37761e-05
         189    -3.77783    -3.77611  6.4087e-05
         190    -3.77783    -3.77612 6.43853e-05
         191    -3.77784    -3.77613 6.46735e-05
         192     -3.7777    -3.77614 6.48502e-05
         193    -3.77756    -3.77614 6.49311e-05
         194    -3.77757    -3.77615 6.50133e-05
         195    -3.77774    -3.77616 6.51904e-05
         196    -3.77807    -3.77617 6.55803e-05
         197    -3.77809    -3.77618   6.597e-05
         198    -3.77812    -3.77619 6.63618e-05
         199    -3.77815     -3.7762 6.67586e-05
         200    -3.77849    -3.77621  6.7402e-05
         201    -3.77868    -3.77622 6.81797e-05
         202    -3.77888    -3.77624 6.90971e-05
         203    -3.77877    -3.77625 6.98785e-05
         204    -3.77898    -3.77626 7.08032e-05
         205    -3.77903    -3.77628 7.17343e-05
         206    -3.77894    -3.77629 7.25419e-05
         207    -3.77885     -3.7763 7.32404e-05
         208    -3.77862    -3.77631 7.37293e-05
         209    -3.77854    -3.77632 7.41404e-05
         210    -3.77876    -3.77633 7.46919e-05
         211    -3.77884    -3.77635 7.52767e-05
         212    -3.77892    -3.77636 7.58968e-05
         213    -3.77916    -3.77637 7.66719e-05
         214     -3.7791    -3.77638 7.73655e-05
         215    -3.77919     -3.7764 7.80998e-05
         216    -3.77899    -3.77641 7.86525e-05
         217    -3.77909    -3.77642 7.92509e-05
         218    -3.77919    -3.77643  7.9896e-05
         219    -3.77914    -3.77645 8.04808e-05
         220    -3.77955    -3.77646 8.13413e-05
         221    -3.77981    -3.77648 8.23723e-05
         222    -3.78007    -3.77649 8.35789e-05
         223    -3.78018    -3.77651 8.48286e-05
         224       -3.78    -3.77652 8.58672e-05
         225    -3.77996    -3.77654 8.68333e-05
         226    -3.78038    -3.77656 8.80943e-05
         227    -3.78034    -3.77657 8.92704e-05
         228    -3.78061    -3.77659 9.06157e-05
         229    -3.78057    -3.77661 9.18714e-05
         230    -3.78053    -3.77663 9.30433e-05
         231    -3.78065    -3.77664 9.42542e-05
         232    -3.78106    -3.77666 9.57504e-05
         233    -3.78117    -3.77668 9.72728e-05
         234    -3.78127     -3.7767 9.88176e-05
         235    -3.78123    -3.77672 0.000100257
         236    -3.78133    -3.77674 0.000101715
         237    -3.78158    -3.77676 0.000103314
         238    -3.78152    -3.77678 0.000104798
         239    -3.78161     -3.7768  0.00010629
         240     -3.7817    -3.77682 0.000107788
         241    -3.78193    -3.77684 0.000109406
         242    -3.78171    -3.77686 0.000110784
         243    -3.78193    -3.77688 0.000112274
         244    -3.78154     -3.7769 0.000113428
         245    -3.78161    -3.77692 0.000114579
         246    -3.78212    -3.77694 0.000116044
         247    -3.78217    -3.77696 0.000117488
         248    -3.78206    -3.77698   0.0001188
         249     -3.7821      -3.777 0.000120088
         250    -3.78199    -3.77702  0.00012125
         251    -3.78217    -3.77705 0.000122484
         252    -3.78204    -3.77706 0.000123589
         253    -3.78205    -3.77708 0.000124662
         254    -3.78176     -3.7771 0.000125522
         255    -3.78161    -3.77712 0.000126269
         256    -3.78161    -3.77714 0.000126986
         257     -3.7816    -3.77716 0.000127673
         258    -3.78158    -3.77717 0.000128326
         259    -3.78156    -3.77719 0.000128945
         260    -3.78153    -3.77721 0.000129527
         261     -3.7815    -3.77722 0.000130071
         262    -3.78146    -3.77724 0.000130576
         263    -3.78141    -3.77725 0.000131041
         264    -3.78136    -3.77727 0.000131466
         265    -3.78116    -3.77729 0.000131786
         266     -3.7811     -3.7773 0.000132068
         267    -3.78103    -3.77731 0.000132311
         268    -3.78126    -3.77733 0.000132636
         269    -3.78104    -3.77734 0.000132858
         270    -3.78096    -3.77736  0.00013304
         271    -3.78058    -3.77737 0.000133079
         272    -3.78004    -3.77738 0.000132951
         273    -3.77995    -3.77739 0.000132797
         274    -3.77985     -3.7774 0.000132617
         275    -3.77976     -3.7774 0.000132414
         276    -3.77966    -3.77741 0.000132186
         277    -3.77941    -3.77742 0.000131906
         278    -3.77946    -3.77743 0.000131635
         279    -3.77936    -3.77743 0.000131345
         280    -3.77986    -3.77744 0.000131161
         281     -3.7796    -3.77745 0.000130919
         282    -3.77995    -3.77746 0.000130755
         283    -3.78015    -3.77747 0.000130638
         284    -3.77989    -3.77748 0.000130457
         285    -3.77964    -3.77748  0.00013022
         286    -3.77939    -3.77749 0.000129935
         287    -3.77959     -3.7775 0.000129688
         288    -3.77964    -3.77751 0.000129451
         289    -3.77955    -3.77751 0.000129196
         290    -3.77961    -3.77752 0.000128952
         291    -3.77936    -3.77753 0.000128664
         292    -3.77913    -3.77753  0.00012834
         293    -3.77904    -3.77754 0.000128006
         294    -3.77896    -3.77754 0.000127662
         295    -3.77919    -3.77755 0.000127351
         296    -3.77896    -3.77755  0.00012701
         297    -3.77905    -3.77756 0.000126682
         298    -3.77883    -3.77756 0.000126329
         299    -3.77892    -3.77757 0.000125989
         300    -3.77902    -3.77757 0.000125662
         301    -3.77851    -3.77757 0.000125283
         302    -3.77817    -3.77758 0.000124884
         303    -3.77827    -3.77758 0.000124493
         304    -3.77809    -3.77758 0.000124095
         305    -3.77775    -3.77758 0.000123689
         306    -3.77742    -3.77758 0.000123286
         307    -3.77694    -3.77758 0.000122902
         308    -3.77707    -3.77758 0.000122514
         309    -3.77705    -3.77757 0.000122129
         310    -3.77703    -3.77757 0.000121748
         311    -3.77702    -3.77757 0.000121369
         312    -3.77701    -3.77757 0.000120994
         313    -3.77716    -3.77757 0.000120614
         314    -3.77715    -3.77757 0.000120237
         315    -3.77715    -3.77757 0.000119863
         316    -3.77715    -3.77756 0.000119491
         317    -3.77714    -3.77756 0.000119121
         318    -3.77699    -3.77756  0.00011876
         319    -3.77669    -3.77756 0.000118419
         320    -3.77684    -3.77756  0.00011807
         321    -3.77624    -3.77755 0.000117774
         322    -3.77654    -3.77755  0.00011745
         323    -3.77669    -3.77755 0.000117116
         324    -3.77654    -3.77754 0.000116796
         325    -3.77668    -3.77754 0.000116467
         326    -3.77683    -3.77754  0.00011613
         327    -3.77697    -3.77754 0.000115788
         328    -3.77681    -3.77753 0.000115456
         329    -3.77664    -3.77753 0.000115137
         330    -3.77648    -3.77753 0.000114832
         331    -3.77646    -3.77753 0.000114531
         332    -3.77628    -3.77752 0.000114247
         333    -3.77611    -3.77752 0.000113983
         334    -3.77623    -3.77751 0.000113706
         335    -3.77605    -3.77751 0.000113451
         336    -3.77617     -3.7775 0.000113183
         337    -3.77598     -3.7775 0.000112938
         338    -3.77579     -3.7775 0.000112718
         339    -3.77589    -3.77749 0.000112484
         340    -3.77585    -3.77749 0.000112257
         341    -3.77595    -3.77748 0.000112018
         342    -3.77589    -3.77748 0.000111787
         343    -3.77584    -3.77747 0.000111563
         344    -3.77608    -3.77747 0.000111312
         345    -3.77602    -3.77746 0.000111069
         346     -3.7758    -3.77746 0.000110851
         347    -3.77573    -3.77745 0.000110643
         348    -3.77551    -3.77745 0.000110466
         349    -3.77529    -3.77744 0.000110323
         350    -3.77536    -3.77744 0.000110167
         351    -3.77544    -3.77743 0.000110001
         352    -3.77566    -3.77743 0.000109803
         353    -3.77528    -3.77742 0.000109661
         354    -3.77489    -3.77741 0.000109583
         355     -3.7745     -3.7774  0.00010958
         356    -3.77442     -3.7774 0.000109593
         357    -3.77463    -3.77739 0.000109559
         358    -3.77439    -3.77738 0.000109572
         359      -3.774    -3.77737 0.000109672
         360     -3.7733    -3.77736 0.000109948
         361    -3.77306    -3.77735 0.000110287
         362    -3.77311    -3.77734 0.000110601
         363    -3.77287    -3.77732 0.000110979
         364    -3.77292    -3.77731 0.000111331
         365    -3.77252     -3.7773 0.000111796
         366    -3.77273    -3.77729 0.000112186
         367    -3.77263    -3.77727 0.000112595
         368    -3.77268    -3.77726 0.000112977
         369    -3.77274    -3.77725 0.000113334
         370    -3.77279    -3.77724 0.000113667
         371    -3.77254    -3.77722 0.000114064
         372    -3.77259    -3.77721 0.000114434
         373    -3.77249     -3.7772 0.000114824
         374    -3.77224    -3.77718 0.000115279
         375      -3.772    -3.77717 0.000115798
         376    -3.77205    -3.77716 0.000116288
         377    -3.77181    -3.77714 0.000116842
         378    -3.77156    -3.77713 0.000117463
         379    -3.77162    -3.77711 0.000118049
         380    -3.77138     -3.7771   0.0001187
         381    -3.77144    -3.77708 0.000119314
         382     -3.7709    -3.77707 0.000120096
         383    -3.77081    -3.77705 0.000120889
         384    -3.77118    -3.77704 0.000121538
         385    -3.77095    -3.77702 0.000122247
         386    -3.77072      -3.777 0.000123016
         387    -3.77064    -3.77699 0.000123793
         388    -3.77102    -3.77697 0.000124426
         389     -3.7711    -3.77696 0.000125019
         390    -3.77103    -3.77694 0.000125619
         391    -3.77066    -3.77693 0.000126319
         392    -3.77045    -3.77691 0.000127072
         393     -3.7707    -3.77689 0.000127727
         394    -3.77065    -3.77688 0.000128383
         395    -3.77075    -3.77686 0.000128992
         396    -3.77101    -3.77685  0.00012951
         397    -3.77037    -3.77683 0.000130208
         398    -3.77049    -3.77681 0.000130853
         399    -3.77046     -3.7768 0.000131491
         400    -3.77044    -3.77678  0.00013212
         401    -3.77027    -3.77677 0.000132785
         402    -3.77041    -3.77675 0.000133392
         403    -3.77041    -3.77674 0.000133987
         404    -3.77041    -3.77672 0.000134566
         405    -3.77027     -3.7767 0.000135173
         406    -3.77029    -3.77669 0.000135761
         407    -3.77031    -3.77667 0.000136329
         408    -3.77049    -3.77666 0.000136835
         409    -3.77053    -3.77664 0.000137319
         410    -3.77057    -3.77663  0.00013778
         411    -3.77047    -3.77661 0.000138257
         412    -3.77037     -3.7766 0.000138749
         413    -3.77029    -3.77658 0.000139252
         414    -3.77051    -3.77657 0.000139687
         415    -3.77058    -3.77655 0.000140093
         416    -3.77081    -3.77654 0.000140433
         417     -3.7712    -3.77653 0.000140678
         418    -3.77145    -3.77651 0.000140865
         419    -3.77139     -3.7765 0.000141058
         420    -3.77149    -3.77649 0.000141225
         421     -3.7716    -3.77648 0.000141367
         422    -3.77141    -3.77647 0.000141541
         423    -3.77167    -3.77645  0.00014166
         424    -3.77179    -3.77644 0.000141752
         425     -3.7716    -3.77643 0.000141875
         426    -3.77188    -3.77642 0.000141945
         427    -3.77154    -3.77641 0.000142072
         428    -3.77151     -3.7764   0.0001422
         429    -3.77179    -3.77639 0.000142274
         430    -3.77206    -3.77638 0.000142299
         431    -3.77218    -3.77637 0.000142302
         432    -3.77215    -3.77636 0.000142307
         433    -3.77211    -3.77635 0.000142316
         434    -3.77238    -3.77634 0.000142282
         435    -3.77219    -3.77633 0.000142275
         436    -3.77245    -3.77632 0.000142228
         437    -3.77225    -3.77631 0.000142207
         438    -3.77235     -3.7763  0.00014217
         439    -3.77275    -3.77629 0.000142076
         440    -3.77284    -3.77629 0.000141969
         441    -3.77263    -3.77628 0.000141889
         442    -3.77272    -3.77627 0.000141797
         443    -3.77295    -3.77626 0.000141675
         444    -3.77287    -3.77626 0.000141561
         445    -3.77295    -3.77625 0.000141438
         446    -3.77331    -3.77624 0.000141274
         447    -3.77353    -3.77624 0.000141088
         448    -3.77344    -3.77623 0.000140912
         449    -3.77379    -3.77622 0.000140702
         450    -3.77384    -3.77622 0.000140489
         451    -3.77419    -3.77621  0.00014025
         452    -3.77454    -3.77621 0.000139989
         453    -3.77458    -3.77621 0.000139726
         454    -3.77446     -3.7762 0.000139471
         455    -3.77465     -3.7762 0.000139207
         456    -3.77453     -3.7762  0.00013895
         457    -3.77471    -3.77619 0.000138684
         458    -3.77458    -3.77619 0.000138425
         459    -3.77446    -3.77619 0.000138175
         460    -3.77448    -3.77618 0.000137925
         461     -3.7748    -3.77618 0.000137658
         462    -3.77452    -3.77617 0.000137407
         463    -3.77469    -3.77617 0.000137147
         464    -3.77456    -3.77617 0.000136895
         465    -3.77458    -3.77616 0.000136643
         466     -3.7743    -3.77616 0.000136408
         467    -3.77417    -3.77616 0.000136183
         468    -3.77404    -3.77615 0.000135967
         469    -3.77421    -3.77615  0.00013574
         470    -3.77423    -3.77614 0.000135513
         471     -3.7741    -3.77614 0.000135294
         472    -3.77428    -3.77614 0.000135065
         473     -3.7743    -3.77613 0.000134835
         474    -3.77478    -3.77613 0.000134581
         475    -3.77496    -3.77613  0.00013432
         476    -3.77499    -3.77612 0.000134059
         477    -3.77502    -3.77612 0.000133799
         478    -3.77505    -3.77612 0.000133537
         479    -3.77478    -3.77612 0.000133288
         480    -3.77466    -3.77611 0.000133045
         481     -3.7747    -3.77611   0.0001328
