#     BLOCK:  ACTUAL_PE:     PE_AVE:      ERROR:
         152    -5.35318    -5.42701  0.00388305
         153    -5.35333    -5.42652  0.00388741
         154    -5.35349    -5.42605  0.00389099
         155     -5.3535    -5.42558  0.00389394
         156    -5.35352    -5.42512  0.00389628
         157    -5.35399    -5.42467  0.00389772
         158    -5.35431    -5.42422  0.00389841
         159    -5.35447    -5.42378   0.0038985
         160    -5.35463    -5.42335  0.00389801
         161    -5.35479    -5.42293    0.003897
         162    -5.35524    -5.42251  0.00389527
         163    -5.35508    -5.42209  0.00389328
         164    -5.35536    -5.42169  0.00389075
         165    -5.35563    -5.42129  0.00388771
         166    -5.35589    -5.42089   0.0038842
         167    -5.35629    -5.42051  0.00388015
         168    -5.35623    -5.42012  0.00387587
         169     -5.3563    -5.41975   0.0038713
         170    -5.35636    -5.41937  0.00386644
         171     -5.3564      -5.419  0.00386133
         172    -5.35658    -5.41864  0.00385589
         173    -5.35675    -5.41828  0.00385017
         174     -5.3566    -5.41793  0.00384433
         175    -5.35643    -5.41758  0.00383839
         176    -5.35641    -5.41723  0.00383228
         177    -5.35636    -5.41689  0.00382603
         178    -5.35661    -5.41655  0.00381949
         179     -5.3564    -5.41621  0.00381291
         180    -5.35617    -5.41588  0.00380629
         181    -5.35623    -5.41555   0.0037995
         182    -5.35629    -5.41522  0.00379255
         183    -5.35619     -5.4149  0.00378552
         184    -5.35592    -5.41458  0.00377849
         185    -5.35581    -5.41426   0.0037714
         186    -5.35569    -5.41395  0.00376424
         187    -5.35572    -5.41364  0.00375697
         188    -5.35591    -5.41333  0.00374951
         189    -5.35579    -5.41302  0.00374201
         190    -5.35568    -5.41272  0.00373447
         191    -5.35558    -5.41242  0.00372688
         192    -5.35533    -5.41213  0.00371932
         193     -5.3551    -5.41183  0.00371176
         194    -5.35504    -5.41154  0.00370415
         195    -5.35515    -5.41125  0.00369643
         196    -5.35543    -5.41096  0.00368853
         197    -5.35543    -5.41068  0.00368056
         198    -5.35546     -5.4104  0.00367252
         199    -5.35552    -5.41013  0.00366441
         200    -5.35593    -5.40986  0.00365609
         201    -5.35622    -5.40959  0.00364763
         202    -5.35655    -5.40933  0.00363901
         203    -5.35663    -5.40907  0.00363033
         204    -5.35707    -5.40881  0.00362147
         205    -5.35741    -5.40856  0.00361248
         206    -5.35765    -5.40831  0.00360338
         207    -5.35796    -5.40807  0.00359418
         208    -5.35819    -5.40783  0.00358489
         209    -5.35864     -5.4076  0.00357545
         210    -5.35947    -5.40737  0.00356577
         211    -5.36022    -5.40714  0.00355586
         212    -5.36106    -5.40693  0.00354573
         213    -5.36213    -5.40672  0.00353531
         214    -5.36299    -5.40651  0.00352469
         215     -5.3641    -5.40631  0.00351381
         216      -5.365    -5.40612  0.00350275
         217     -5.3663    -5.40594  0.00349141
         218    -5.36771    -5.40576   0.0034798
         219    -5.36906     -5.4056  0.00346794
         220    -5.37098    -5.40544  0.00345575
         221    -5.37286    -5.40529  0.00344325
         222    -5.37484    -5.40515  0.00343047
         223    -5.37679    -5.40503  0.00341745
         224    -5.37855    -5.40491  0.00340423
         225    -5.38058     -5.4048  0.00339082
         226    -5.38318    -5.40471  0.00337717
         227    -5.38543    -5.40462  0.00336336
         228    -5.38811    -5.40455  0.00334938
         229    -5.39059    -5.40449  0.00333531
         230    -5.39319    -5.40444  0.00332117
         231    -5.39606     -5.4044  0.00330699
         232    -5.39933    -5.40438  0.00329281
         233    -5.40242    -5.40437  0.00327869
         234    -5.40561    -5.40438  0.00326468
         235    -5.40875     -5.4044  0.00325084
         236    -5.41214    -5.40443  0.00323723
         237    -5.41579    -5.40448  0.00322393
         238    -5.41922    -5.40454  0.00321098
         239     -5.4229    -5.40461  0.00319846
         240    -5.42666    -5.40471  0.00318645
         241    -5.43065    -5.40481  0.00317505
         242    -5.43427    -5.40494  0.00316426
         243    -5.43842    -5.40507  0.00315424
         244    -5.44203    -5.40523  0.00314495
         245    -5.44615    -5.40539  0.00313654
         246    -5.45079    -5.40558  0.00312922
         247    -5.45502    -5.40578  0.00312294
         248    -5.45914    -5.40599  0.00311776
         249    -5.46346    -5.40622  0.00311377
         250    -5.46766    -5.40647  0.00311099
         251    -5.47219    -5.40673  0.00310959
         252    -5.47643    -5.40701  0.00310953
         253    -5.48084     -5.4073  0.00311091
         254    -5.48496     -5.4076  0.00311365
         255    -5.48924    -5.40792  0.00311785
         256    -5.49366    -5.40826  0.00312361
         257    -5.49807    -5.40861  0.00313094
         258    -5.50247    -5.40897  0.00313987
         259    -5.50684    -5.40935   0.0031504
         260    -5.51119    -5.40974  0.00316254
         261     -5.5155    -5.41015  0.00317627
         262    -5.51977    -5.41057  0.00319159
         263      -5.524      -5.411  0.00320846
         264    -5.52817    -5.41144  0.00322686
         265    -5.53214     -5.4119  0.00324667
         266     -5.5362    -5.41236  0.00326792
         267    -5.54019    -5.41284  0.00329056
         268    -5.54441    -5.41333   0.0033147
         269    -5.54811    -5.41383  0.00334003
         270    -5.55188    -5.41435  0.00336657
         271    -5.55526    -5.41487  0.00339407
         272    -5.55841    -5.41539  0.00342237
         273    -5.56192    -5.41593  0.00345167
         274    -5.56534    -5.41648  0.00348187
