#     BLOCK:   ACTUAL_P:     P_AVE:       ERROR:
         167    0.851535    0.883741  0.00191199
         168    0.851589     0.88355  0.00191017
         169    0.851634    0.883361  0.00190818
         170    0.851672    0.883174  0.00190603
         171    0.851703     0.88299  0.00190375
         172    0.851724    0.882808  0.00190134
         173    0.851738    0.882629  0.00189882
         174    0.851749    0.882451  0.00189618
         175    0.851753    0.882276  0.00189344
         176    0.851748    0.882103  0.00189061
         177    0.851735    0.881931   0.0018877
         178    0.851711    0.881761  0.00188471
         179    0.851686    0.881593  0.00188166
         180    0.851656    0.881427  0.00187854
         181    0.851615    0.881262  0.00187537
         182    0.851569    0.881099  0.00187215
         183     0.85152    0.880937  0.00186888
         184     0.85147    0.880777  0.00186557
         185    0.851414    0.880618  0.00186223
         186    0.851355    0.880461  0.00185885
         187    0.851292    0.880305  0.00185544
         188    0.851225     0.88015  0.00185201
         189    0.851164    0.879997  0.00184855
         190    0.851103    0.879845  0.00184506
         191    0.851045    0.879694  0.00184156
         192    0.850992    0.879545  0.00183802
         193    0.850944    0.879397  0.00183446
         194    0.850901     0.87925  0.00183088
         195    0.850862    0.879104  0.00182727
         196     0.85083     0.87896  0.00182363
         197    0.850814    0.878817  0.00181996
         198    0.850809    0.878676  0.00181626
         199    0.850819    0.878536  0.00181252
         200    0.850841    0.878397  0.00180874
         201    0.850882     0.87826  0.00180491
         202    0.850943    0.878125  0.00180103
         203     0.85103    0.877991   0.0017971
         204    0.851136     0.87786  0.00179311
         205    0.851269     0.87773  0.00178905
         206    0.851432    0.877602  0.00178491
         207    0.851624    0.877477  0.00178069
         208     0.85185    0.877354  0.00177639
         209    0.852107    0.877233  0.00177199
         210    0.852394    0.877115   0.0017675
         211    0.852721    0.876999   0.0017629
         212    0.853088    0.876886  0.00175819
         213    0.853493    0.876776  0.00175336
         214    0.853945     0.87667  0.00174841
         215    0.854439    0.876566  0.00174333
         216    0.854985    0.876466  0.00173812
         217    0.855573     0.87637  0.00173278
         218    0.856211    0.876278  0.00172729
         219    0.856902    0.876189  0.00172167
         220    0.857638    0.876105  0.00171591
         221     0.85843    0.876025  0.00171001
         222    0.859276    0.875949  0.00170397
         223    0.860179    0.875879  0.00169779
         224    0.861143    0.875813  0.00169149
         225    0.862162    0.875752  0.00168506
         226    0.863232    0.875697  0.00167851
         227    0.864365    0.875647  0.00167186
         228    0.865552    0.875603  0.00166511
         229      0.8668    0.875564  0.00165829
         230    0.868105    0.875532  0.00165139
         231    0.869465    0.875506  0.00164445
         232    0.870876    0.875486  0.00163749
         233    0.872347    0.875472  0.00163051
         234    0.873872    0.875465  0.00162356
         235    0.875453    0.875465  0.00161665
         236    0.877083    0.875472  0.00160982
         237    0.878762    0.875486  0.00160308
         238    0.880493    0.875507  0.00159649
         239     0.88227    0.875535  0.00159006
         240    0.884092    0.875571  0.00158383
         241    0.885954    0.875614  0.00157785
         242    0.887864    0.875665  0.00157214
         243    0.889806    0.875723  0.00156674
         244    0.891793    0.875789  0.00156171
         245    0.893808    0.875862  0.00155706
         246    0.895847    0.875944  0.00155285
         247    0.897921    0.876032  0.00154911
         248    0.900023    0.876129  0.00154588
         249    0.902146    0.876234   0.0015432
         250     0.90429    0.876346   0.0015411
         251    0.906447    0.876466  0.00153962
         252    0.908622    0.876593  0.00153879
         253    0.910806    0.876729  0.00153864
         254    0.913001    0.876872   0.0015392
         255      0.9152    0.877022  0.00154048
         256    0.917397     0.87718  0.00154252
         257    0.919593    0.877345  0.00154532
         258    0.921785    0.877517   0.0015489
         259    0.923969    0.877696  0.00155327
         260    0.926142    0.877882  0.00155843
         261    0.928301    0.878076  0.00156438
         262    0.930444    0.878276  0.00157113
         263    0.932566    0.878482  0.00157866
         264    0.934666    0.878695  0.00158696
         265    0.936742    0.878914  0.00159602
         266    0.938789    0.879139  0.00160581
         267    0.940806     0.87937  0.00161632
         268    0.942786    0.879607  0.00162752
         269    0.944738    0.879849  0.00163938
         270     0.94665    0.880096  0.00165187
         271    0.948528    0.880349  0.00166497
         272    0.950367    0.880606  0.00167863
         273    0.952156    0.880868  0.00169281
         274      0.9539    0.881135  0.00170749
         275    0.955599    0.881405  0.00172262
         276     0.95725     0.88168  0.00173816
         277    0.958855    0.881959  0.00175407
         278    0.960405    0.882241  0.00177031
         279    0.961906    0.882527  0.00178685
         280    0.963348    0.882815  0.00180363
         281    0.964748    0.883107  0.00182063
         282    0.966088    0.883401   0.0018378
         283    0.967379    0.883698   0.0018551
         284    0.968624    0.883997  0.00187252
         285    0.969817    0.884298  0.00189001
         286     0.97096    0.884601  0.00190753
         287    0.972045    0.884906  0.00192507
         288    0.973083    0.885212  0.00194258
         289    0.974074    0.885519  0.00196004
         290    0.975016    0.885828  0.00197742
         291    0.975915    0.886137  0.00199472
         292     0.97677    0.886448  0.00201189
         293    0.977578    0.886759  0.00202892
         294    0.978345     0.88707  0.00204579
         295    0.979068    0.887382  0.00206249
         296     0.97976    0.887694    0.002079
         297    0.980411    0.888006  0.00209531
         298    0.981032    0.888319   0.0021114
         299    0.981617    0.888631  0.00212727
         300    0.982173    0.888943  0.00214291
         301    0.982711    0.889254  0.00215832
         302    0.983222    0.889565  0.00217348
         303    0.983703    0.889876   0.0021884
         304    0.984167    0.890186  0.00220308
         305    0.984615    0.890496   0.0022175
         306    0.985047    0.890805  0.00223168
         307    0.985466    0.891113  0.00224561
         308    0.985864    0.891421  0.00225929
         309    0.986253    0.891728  0.00227273
         310    0.986634    0.892034  0.00228592
         311    0.987007    0.892339  0.00229888
         312    0.987375    0.892644  0.00231161
         313    0.987736    0.892947   0.0023241
         314    0.988095     0.89325  0.00233637
         315    0.988452    0.893553  0.00234842
         316    0.988809    0.893854  0.00236025
         317    0.989164    0.894155  0.00237188
         318    0.989522    0.894455   0.0023833
         319    0.989881    0.894754  0.00239453
         320    0.990235    0.895052  0.00240557
         321    0.990601     0.89535  0.00241642
         322    0.990955    0.895647  0.00242709
         323     0.99131    0.895943  0.00243758
         324     0.99167    0.896238  0.00244789
         325    0.992023    0.896533  0.00245804
         326    0.992375    0.896827  0.00246802
         327    0.992724     0.89712  0.00247783
         328    0.993073    0.897413  0.00248749
         329    0.993417    0.897705  0.00249699
         330    0.993756    0.897996  0.00250633
         331    0.994084    0.898286  0.00251551
         332    0.994406    0.898576  0.00252454
         333    0.994717    0.898864  0.00253341
         334    0.995011    0.899152  0.00254213
         335    0.995296    0.899439  0.00255069
         336    0.995562    0.899725  0.00255909
         337    0.995815     0.90001  0.00256733
         338     0.99605    0.900295  0.00257541
         339    0.996261    0.900578  0.00258333
         340    0.996453     0.90086  0.00259107
         341    0.996619     0.90114  0.00259865
         342    0.996763     0.90142  0.00260605
         343     0.99688    0.901698  0.00261327
         344    0.996964    0.901975  0.00262031
         345    0.997024    0.902251  0.00262715
         346    0.997055    0.902525  0.00263381
         347    0.997051    0.902797  0.00264027
         348    0.997016    0.903068  0.00264653
         349    0.996946    0.903337  0.00265258
         350    0.996835    0.903604  0.00265842
         351    0.996687    0.903869  0.00266404
         352    0.996499    0.904132  0.00266944
         353    0.996279    0.904393  0.00267461
         354     0.99602    0.904652  0.00267955
         355     0.99572    0.904909  0.00268425
         356    0.995373    0.905163  0.00268871
         357    0.994979    0.905415  0.00269292
         358    0.994547    0.905663  0.00269689
         359    0.994074     0.90591   0.0027006
         360    0.993559    0.906153  0.00270405
         361    0.992992    0.906394  0.00270724
         362    0.992375    0.906631  0.00271016
         363    0.991714    0.906866  0.00271281
         364    0.991002    0.907097  0.00271518
         365    0.990249    0.907325  0.00271728
         366    0.989439    0.907549  0.00271911
         367    0.988586     0.90777  0.00272065
         368    0.987681    0.907987  0.00272191
         369    0.986727      0.9082  0.00272288
         370    0.985725     0.90841  0.00272357
         371    0.984678    0.908615  0.00272398
         372    0.983577    0.908817   0.0027241
         373     0.98243    0.909014  0.00272394
         374    0.981236    0.909207  0.00272349
         375    0.979994    0.909396  0.00272276
         376    0.978699     0.90958  0.00272175
         377    0.977361     0.90976  0.00272046
         378    0.975975    0.909935   0.0027189
         379    0.974538    0.910106  0.00271706
         380    0.973059    0.910272  0.00271496
         381    0.971531    0.910432  0.00271259
         382    0.969967    0.910588  0.00270996
         383    0.968352    0.910739  0.00270708
         384    0.966687    0.910885  0.00270395
         385    0.964989    0.911025  0.00270057
         386    0.963251    0.911161  0.00269697
         387     0.96147    0.911291  0.00269313
         388    0.959645    0.911415  0.00268907
         389    0.957787    0.911534   0.0026848
         390    0.955897    0.911648  0.00268032
         391    0.953977    0.911756  0.00267565
         392    0.952022    0.911859   0.0026708
         393    0.950031    0.911956  0.00266577
         394    0.948016    0.912048  0.00266057
         395    0.945973    0.912134  0.00265522
         396    0.943903    0.912214  0.00264973
         397    0.941826    0.912288   0.0026441
         398    0.939718    0.912357  0.00263836
         399    0.937597    0.912421   0.0026325
         400    0.935463    0.912478  0.00262655
         401    0.933319     0.91253  0.00262052
         402    0.931163    0.912577  0.00261441
         403    0.929004    0.912617  0.00260824
         404    0.926843    0.912653  0.00260202
         405    0.924685    0.912682  0.00259577
         406    0.922531    0.912707  0.00258949
         407    0.920384    0.912725  0.00258319
         408    0.918245    0.912739   0.0025769
         409    0.916124    0.912747  0.00257061
         410    0.914021     0.91275  0.00256434
         411    0.911942    0.912748   0.0025581
         412    0.909887    0.912741   0.0025519
