#     BLOCK:   ACTUAL_KE:    KE_AVE:      ERROR:
         168      1.5788     1.64418  0.00389917
         169     1.57889      1.6438   0.0038952
         170     1.57896     1.64341  0.00389091
         171     1.57902     1.64304  0.00388634
         172     1.57906     1.64267   0.0038815
         173     1.57909      1.6423  0.00387642
         174     1.57911     1.64193  0.00387112
         175     1.57911     1.64158  0.00386561
         176     1.57909     1.64122  0.00385991
         177     1.57907     1.64087  0.00385404
         178     1.57903     1.64052  0.00384802
         179     1.57897     1.64018  0.00384186
         180     1.57891     1.63984  0.00383556
         181     1.57883      1.6395  0.00382915
         182     1.57874     1.63917  0.00382264
         183     1.57865     1.63884  0.00381603
         184     1.57855     1.63851  0.00380933
         185     1.57844     1.63818  0.00380255
         186     1.57832     1.63786  0.00379571
         187      1.5782     1.63754  0.00378879
         188     1.57808     1.63723  0.00378182
         189     1.57797     1.63691  0.00377478
         190     1.57785      1.6366  0.00376769
         191     1.57774     1.63629  0.00376055
         192     1.57764     1.63599  0.00375335
         193     1.57754     1.63569   0.0037461
         194     1.57747     1.63539  0.00373879
         195      1.5774     1.63509  0.00373143
         196     1.57736     1.63479    0.003724
         197     1.57733      1.6345   0.0037165
         198     1.57734     1.63421  0.00370892
         199     1.57737     1.63393  0.00370127
         200     1.57743     1.63365  0.00369353
         201     1.57753     1.63337  0.00368568
         202     1.57768     1.63309  0.00367774
         203     1.57786     1.63282  0.00366967
         204     1.57809     1.63255  0.00366147
         205     1.57838     1.63229  0.00365314
         206     1.57871     1.63203  0.00364465
         207     1.57911     1.63177  0.00363599
         208     1.57957     1.63152  0.00362716
         209      1.5801     1.63127  0.00361814
         210      1.5807     1.63103  0.00360891
         211     1.58138      1.6308  0.00359948
         212     1.58213     1.63057  0.00358981
         213     1.58297     1.63034   0.0035799
         214     1.58389     1.63013  0.00356975
         215     1.58491     1.62992  0.00355934
         216     1.58601     1.62971  0.00354866
         217     1.58722     1.62952   0.0035377
         218     1.58852     1.62933  0.00352647
         219     1.58992     1.62915  0.00351496
         220     1.59143     1.62898  0.00350316
         221     1.59305     1.62882  0.00349108
         222     1.59477     1.62866  0.00347872
         223     1.59661     1.62852  0.00346609
         224     1.59856     1.62838  0.00345319
         225     1.60062     1.62826  0.00344005
         226      1.6028     1.62815  0.00342668
         227     1.60509     1.62805  0.00341308
         228      1.6075     1.62796   0.0033993
         229     1.61002     1.62788  0.00338536
         230     1.61266     1.62781  0.00337129
         231     1.61541     1.62776  0.00335712
         232     1.61827     1.62772   0.0033429
         233     1.62125     1.62769  0.00332867
         234     1.62433     1.62768  0.00331448
         235     1.62752     1.62768  0.00330037
         236     1.63081     1.62769  0.00328641
         237     1.63421     1.62772  0.00327266
         238      1.6377     1.62776  0.00325918
         239     1.64129     1.62781  0.00324604
         240     1.64496     1.62789   0.0032333
         241     1.64872     1.62797  0.00322104
         242     1.65257     1.62807  0.00320933
         243     1.65649     1.62819  0.00319825
         244     1.66048     1.62832  0.00318788
         245     1.66454     1.62847   0.0031783
         246     1.66867     1.62863  0.00316957
         247     1.67285     1.62881  0.00316179
         248     1.67708     1.62901  0.00315503
         249     1.68136     1.62922  0.00314935
         250     1.68567     1.62944  0.00314484
         251     1.69002     1.62969  0.00314156
         252      1.6944     1.62994  0.00313957
         253     1.69879     1.63021  0.00313893
         254     1.70321      1.6305   0.0031397
         255     1.70763      1.6308  0.00314192
         256     1.71205     1.63112  0.00314564
         257     1.71647     1.63145  0.00315088
         258     1.72088      1.6318  0.00315768
         259     1.72528     1.63216  0.00316604
