      T:         <H>:          err:          mu:           sigma:        acc?
       4.877      -0.160       0.006      -0.128       0.846           1
       4.877      -0.150       0.006      -0.128       0.829           1
       4.877      -0.162       0.006      -0.094       0.845           1
       4.877      -0.153       0.007      -0.116       0.833           1
       4.877      -0.160       0.008      -0.089       0.847           1
       4.877      -0.189       0.006      -0.081       0.858           1
       4.877      -0.168       0.006      -0.120       0.840           1
       4.877      -0.136       0.005      -0.111       0.828           1
       4.877      -0.155       0.006      -0.078       0.841           1
       4.877      -0.153       0.007      -0.038       0.839           1
       4.877      -0.134       0.007       0.010       0.820           1
       4.877      -0.107       0.006      -0.007       0.805           1
       4.877      -0.124       0.006       0.042       0.813           1
       4.877      -0.148       0.007       0.066       0.827           1
       4.877      -0.115       0.006       0.020       0.815           1
       4.877      -0.122       0.006       0.068       0.813           1
       4.877      -0.131       0.007       0.081       0.812           1
       4.877      -0.105       0.007       0.071       0.796           1
       4.877      -0.107       0.006       0.040       0.802           1
       4.877      -0.114       0.006      -0.006       0.811           1
       4.877      -0.093       0.008      -0.018       0.794           1
       4.877      -0.101       0.006      -0.036       0.792           1
       4.877      -0.102       0.008      -0.048       0.793           1
       4.877      -0.087       0.007      -0.017       0.784           1
       4.877      -0.079       0.006      -0.026       0.788           1
       4.877      -0.072       0.007      -0.005       0.779           1
       4.877      -0.057       0.007      -0.022       0.769           1
       4.877      -0.095       0.007       0.015       0.788           1
       4.877      -0.063       0.007       0.027       0.771           1
       4.877      -0.045       0.006      -0.004       0.763           1
       4.877      -0.016       0.008      -0.034       0.744           1
       4.877       0.043       0.007       0.012       0.725           1
       4.877       0.057       0.008       0.051       0.711           1
       4.877       0.013       0.006       0.080       0.724           1
       4.877       0.000       0.006       0.083       0.742           1
       4.877      -0.048       0.008       0.042       0.761           1
       4.877      -0.064       0.007       0.064       0.778           1
       4.877      -0.042       0.008       0.055       0.758           1
       4.877      -0.021       0.007       0.095       0.746           1
       4.877      -0.036       0.007       0.073       0.751           1
       4.877      -0.012       0.007       0.112       0.744           1
       4.877      -0.009       0.007       0.107       0.733           1
       4.877       0.007       0.008       0.139       0.719           1
       4.633      -0.011       0.007       0.135       0.735           1
       4.633       0.025       0.007       0.096       0.725           1
       4.633       0.001       0.007       0.056       0.738           1
       4.633       0.013       0.008       0.015       0.739           1
       4.633      -0.014       0.008       0.040       0.745           1
       4.633       0.008       0.007       0.039       0.735           1
       4.633       0.003       0.007       0.039       0.726           1
       4.633       0.036       0.007       0.053       0.722           1
       4.633      -0.006       0.007       0.098       0.740           1
       4.633       0.021       0.009       0.059       0.721           1
       4.633      -0.017       0.007       0.049       0.737           1
       4.633      -0.030       0.007       0.079       0.753           1
       4.633      -0.029       0.007       0.083       0.753           1
       4.633      -0.046       0.007       0.051       0.760           1
       4.633      -0.024       0.009       0.100       0.746           1
       4.633      -0.059       0.007       0.146       0.756           1
       4.633      -0.073       0.008       0.133       0.768           1
       4.633      -0.071       0.007       0.114       0.767           1
       4.633      -0.071       0.007       0.068       0.777           1
       4.633      -0.104       0.007       0.080       0.796           1
       4.633      -0.103       0.006       0.033       0.806           1
       4.633      -0.139       0.006      -0.008       0.817           1
       4.633      -0.133       0.006       0.011       0.829           1
       4.633      -0.119       0.007       0.045       0.812           1
       4.633      -0.156       0.006       0.084       0.826           1
       4.633      -0.114       0.006       0.056       0.815           1
       4.633      -0.102       0.006       0.025       0.796           1
       4.633      -0.086       0.007       0.021       0.794           1
       4.633      -0.103       0.006       0.055       0.786           1
       4.633      -0.078       0.007       0.092       0.774           1
       4.633      -0.042       0.007       0.045       0.758           1
       4.633      -0.032       0.007       0.084       0.753           1
       4.633      -0.070       0.008       0.109       0.769           1
       4.633      -0.043       0.008       0.143       0.753           1
       4.633      -0.055       0.007       0.190       0.740           1
       4.633      -0.055       0.006       0.167       0.758           1
       4.633      -0.037       0.006       0.135       0.740           1
       4.633      -0.072       0.007       0.154       0.760           1
       4.633      -0.059       0.007       0.193       0.746           1
       4.633      -0.102       0.006       0.237       0.759           1
       4.633      -0.098       0.007       0.223       0.755           1
       4.401      -0.083       0.007       0.199       0.764           1
       4.401      -0.116       0.006       0.185       0.783           1
       4.401      -0.106       0.006       0.141       0.789           1
       4.401      -0.124       0.006       0.159       0.801           1
       4.401      -0.143       0.007       0.166       0.814           1
       4.401      -0.144       0.007       0.159       0.813           1
       4.401      -0.141       0.006       0.142       0.813           1
       4.401      -0.141       0.007       0.157       0.814           1
       4.401      -0.120       0.007       0.136       0.798           1
       4.401      -0.087       0.006       0.098       0.786           1
       4.401      -0.060       0.006       0.059       0.774           1
       4.401      -0.061       0.007       0.062       0.772           1
       4.401      -0.063       0.006       0.055       0.772           1
       4.401      -0.081       0.007       0.065       0.779           1
       4.401      -0.091       0.006       0.054       0.793           1
       4.401      -0.121       0.005       0.077       0.812           1
       4.401      -0.129       0.006       0.070       0.818           1
       4.401      -0.146       0.006       0.047       0.830           1
       4.401      -0.151       0.006       0.060       0.832           1
       4.401      -0.132       0.007       0.048       0.820           1
       4.401      -0.111       0.008       0.041       0.805           1
       4.401      -0.086       0.006       0.011       0.789           1
       4.401      -0.078       0.007       0.049       0.779           1
       4.401      -0.055       0.007       0.038       0.771           1
       4.401      -0.094       0.006       0.043       0.791           1
       4.401      -0.086       0.007       0.091       0.780           1
       4.401      -0.077       0.006       0.049       0.777           1
       4.401      -0.084       0.007       0.031       0.780           1
       4.401      -0.097       0.005      -0.010       0.796           1
       4.401      -0.069       0.006       0.017       0.777           1
       4.401      -0.099       0.006       0.007       0.796           1
       4.401      -0.064       0.006      -0.011       0.778           1
       4.401      -0.073       0.007      -0.022       0.780           1
       4.401      -0.047       0.007      -0.029       0.763           1
       4.401      -0.068       0.006      -0.051       0.776           1
       4.401      -0.049       0.008      -0.082       0.759           1
       4.401      -0.064       0.007      -0.100       0.770           1
       4.401      -0.086       0.007      -0.081       0.783           1
       4.401      -0.068       0.007      -0.080       0.775           1
       4.181      -0.077       0.007      -0.032       0.774           1
       4.181      -0.033       0.008       0.002       0.755           1
       4.181      -0.013       0.007       0.048       0.739           1
       4.181       0.031       0.006       0.069       0.723           1
       4.181       0.015       0.007       0.052       0.729           1
       4.181      -0.017       0.007       0.064       0.745           1
       4.181      -0.010       0.008       0.079       0.741           1
       4.181      -0.020       0.007       0.098       0.742           1
       4.181      -0.031       0.008       0.084       0.741           1
       4.181       0.009       0.006       0.045       0.733           1
       4.181       0.039       0.008       0.078       0.715           1
       4.181       0.033       0.007       0.066       0.723           1
       4.181       0.023       0.008       0.109       0.719           1
       4.181       0.046       0.008       0.085       0.717           1
       4.181       0.003       0.008       0.083       0.732           1
       4.181      -0.028       0.008       0.116       0.742           1
       4.181      -0.015       0.006       0.124       0.732           1
       4.181       0.004       0.008       0.078       0.728           1
       4.181       0.022       0.008       0.083       0.726           1
       4.181      -0.029       0.008       0.081       0.746           1
       4.181      -0.065       0.006       0.088       0.763           1
       4.181      -0.067       0.007       0.085       0.770           1
       4.181      -0.032       0.008       0.045       0.756           1
       4.181      -0.010       0.008       0.062       0.742           1
       4.181      -0.027       0.007       0.060       0.749           1
       4.181      -0.011       0.007       0.109       0.740           1
       4.181      -0.007       0.008       0.087       0.739           1
       4.181      -0.032       0.008       0.043       0.752           1
       4.181      -0.043       0.006       0.042       0.760           1
       4.181      -0.065       0.007       0.092       0.779           1
       4.181      -0.082       0.007       0.104       0.776           1
       4.181      -0.116       0.007       0.129       0.791           1
       4.181      -0.124       0.006       0.090       0.806           1
       4.181      -0.101       0.006       0.135       0.795           1
       4.181      -0.127       0.007       0.116       0.811           1
       4.181      -0.091       0.007       0.079       0.794           1
       4.181      -0.090       0.007       0.039       0.791           1
       3.972      -0.045       0.006       0.036       0.774           1
       3.972      -0.082       0.007       0.066       0.782           1
       3.972      -0.090       0.007       0.104       0.775           1
       3.972      -0.080       0.007       0.100       0.783           1
       3.972      -0.068       0.007       0.080       0.774           1
       3.972      -0.044       0.007       0.054       0.760           1
       3.972      -0.070       0.008       0.026       0.776           1
       3.972      -0.080       0.006       0.063       0.778           1
       3.972      -0.068       0.007       0.090       0.765           1
       3.972      -0.051       0.008       0.063       0.770           1
       3.972      -0.095       0.006       0.029       0.788           1
       3.972      -0.062       0.008       0.054       0.769           1
       3.972      -0.079       0.007       0.061       0.778           1
       3.972      -0.071       0.007       0.038       0.781           1
       3.972      -0.067       0.006       0.028       0.773           1
       3.972      -0.076       0.007      -0.015       0.784           1
       3.972      -0.041       0.007      -0.004       0.765           1
       3.972      -0.075       0.007       0.018       0.779           1
       3.972      -0.094       0.007       0.058       0.786           1
       3.972      -0.096       0.008       0.066       0.790           1
       3.972      -0.072       0.007       0.053       0.784           1
       3.972      -0.052       0.008       0.045       0.768           1
       3.972      -0.086       0.007       0.037       0.779           1
       3.972      -0.081       0.006       0.060       0.784           1
       3.972      -0.077       0.008       0.073       0.790           1
       3.972      -0.069       0.007       0.122       0.773           1
       3.972      -0.085       0.007       0.101       0.769           1
       3.972      -0.056       0.006       0.066       0.773           1
       3.972      -0.076       0.008       0.034       0.784           1
       3.972      -0.099       0.008       0.037       0.801           1
       3.972      -0.124       0.006       0.023       0.813           1
       3.972      -0.137       0.006       0.051       0.825           1
       3.972      -0.124       0.006       0.029       0.816           1
       3.972      -0.149       0.006      -0.000       0.826           1
       3.972      -0.115       0.007       0.001       0.811           1
       3.774      -0.080       0.006      -0.031       0.793           1
       3.774      -0.059       0.007      -0.030       0.777           1
       3.774      -0.069       0.008      -0.040       0.772           1
       3.774      -0.075       0.007      -0.003       0.783           1
       3.774      -0.094       0.008      -0.048       0.790           1
       3.774      -0.073       0.006      -0.074       0.775           1
       3.774      -0.077       0.006      -0.047       0.784           1
       3.774      -0.081       0.007      -0.062       0.784           1
       3.774      -0.056       0.007      -0.061       0.766           1
       3.774      -0.049       0.007      -0.101       0.757           1
       3.774      -0.043       0.007      -0.139       0.752           1
       3.774      -0.014       0.007      -0.112       0.736           1
       3.774       0.037       0.009      -0.095       0.717           1
       3.774       0.015       0.006      -0.118       0.720           1
       3.774       0.003       0.007      -0.091       0.730           1
       3.774      -0.016       0.008      -0.049       0.740           1
       3.774      -0.012       0.008      -0.010       0.749           1
       3.774       0.010       0.009      -0.047       0.736           1
       3.774       0.032       0.007      -0.054       0.716           1
       3.774       0.005       0.009      -0.050       0.736           1
       3.774       0.021       0.008      -0.056       0.724           1
       3.774       0.035       0.008      -0.050       0.717           1
       3.774       0.087       0.008      -0.020       0.703           1
       3.774       0.038       0.008      -0.003       0.719           1
       3.774       0.059       0.008       0.046       0.707           1
       3.774       0.019       0.007       0.034       0.726           1
       3.774       0.019       0.007       0.058       0.725           1
       3.774       0.068       0.008       0.031       0.707           1
       3.774       0.091       0.009       0.015       0.693           1
       3.774       0.110       0.008       0.018       0.689           1
       3.774       0.080       0.009       0.016       0.697           1
       3.774       0.147       0.008      -0.024       0.678           1
       3.774       0.177       0.009      -0.023       0.660           1
