           1   -0.423337   -0.423337           0
           2   -0.439369   -0.431353  0.00566795
           3   -0.419011   -0.427239  0.00505583
           4     -0.4157   -0.424354  0.00454095
           5   -0.413594   -0.422202  0.00411119
           6   -0.406457   -0.419578  0.00418043
           7   -0.435761    -0.42189   0.0041738
           8   -0.430912   -0.423018  0.00380139
           9   -0.425141   -0.423254  0.00338633
          10   -0.444527   -0.425381  0.00365532
          11   -0.428339    -0.42565   0.0033329
          12   -0.429748   -0.425991   0.0030726
          13   -0.460367   -0.428636  0.00380771
          14   -0.447078   -0.429953   0.0037567
          15   -0.412397   -0.428783  0.00368406
          16   -0.442409   -0.429634  0.00355087
          17   -0.439358   -0.430206  0.00338775
          18   -0.422181    -0.42976  0.00322875
          19   -0.449544   -0.430802  0.00322234
          20   -0.374654   -0.427994   0.0041059
          21   -0.452214   -0.429148  0.00406913
          22   -0.420273   -0.428744  0.00390412
          23   -0.444136   -0.429413   0.0037913
          24   -0.461034   -0.430731  0.00385546
          25   -0.454148   -0.431668  0.00381333
          26   -0.420803    -0.43125  0.00368949
          27    -0.44052   -0.431593  0.00356878
          28   -0.392877    -0.43021   0.0036995
          29    -0.44005    -0.43055  0.00358746
          30   -0.458083   -0.431467  0.00358335
          31   -0.403955    -0.43058  0.00357597
          32   -0.442619   -0.430956  0.00348396
          33   -0.412746   -0.430404  0.00342181
          34   -0.449062   -0.430953  0.00336488
          35   -0.427063   -0.430842  0.00327057
          36    -0.43895   -0.431067  0.00318747
          37   -0.436576   -0.431216   0.0031048
          38   -0.401497   -0.430434  0.00312004
          39   -0.445343   -0.430816  0.00306337
          40   -0.428267   -0.430752  0.00298745
