#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
         150    -5.44328    -5.44661 0.000239644
         151    -5.44287    -5.44658 0.000239332
         152    -5.44311    -5.44656 0.000238847
         153    -5.44302    -5.44653 0.000238402
         154    -5.44261    -5.44651 0.000238209
         155    -5.44253    -5.44648 0.000238049
         156    -5.44343    -5.44646 0.000237327
         157    -5.44432    -5.44645 0.000236207
         158    -5.44425    -5.44644 0.000235121
         159     -5.4445    -5.44642 0.000233956
         160    -5.44476    -5.44641 0.000232724
         161    -5.44502    -5.44641 0.000231439
         162    -5.44432    -5.44639  0.00023037
         163    -5.44426    -5.44638 0.000229328
         164    -5.44421    -5.44637 0.000228311
         165    -5.44416    -5.44635 0.000227318
         166    -5.44412    -5.44634 0.000226345
         167    -5.44409    -5.44633 0.000225392
         168    -5.44438    -5.44631 0.000224348
         169    -5.44468     -5.4463  0.00022323
         170    -5.44466    -5.44629 0.000222127
         171    -5.44464    -5.44628 0.000221038
         172    -5.44431    -5.44627 0.000220052
         173    -5.44495    -5.44627 0.000218912
         174    -5.44528    -5.44626 0.000217727
         175    -5.44562    -5.44626 0.000216514
         176    -5.44563    -5.44625 0.000215313
         177    -5.44598    -5.44625 0.000214102
         178    -5.44633    -5.44625 0.000212899
         179    -5.44636    -5.44625 0.000211711
         180     -5.4464    -5.44625 0.000210536
         181    -5.44677    -5.44626 0.000209393
         182     -5.4465    -5.44626 0.000208247
         183    -5.44688    -5.44626 0.000207137
         184    -5.44662    -5.44626 0.000206021
         185    -5.44637    -5.44626 0.000204908
         186    -5.44677    -5.44627 0.000203824
         187    -5.44652    -5.44627 0.000202739
         188    -5.44661    -5.44627 0.000201669
         189    -5.44637    -5.44627 0.000200602
         190    -5.44647    -5.44627 0.000199549
         191    -5.44689    -5.44627 0.000198531
         192    -5.44699    -5.44628 0.000197532
         193    -5.44743    -5.44628 0.000196598
         194    -5.44754    -5.44629 0.000195691
         195    -5.44765     -5.4463 0.000194812
         196    -5.44809    -5.44631 0.000194033
         197    -5.44789    -5.44631 0.000193214
         198    -5.44736    -5.44632  0.00019231
         199    -5.44684    -5.44632 0.000191361
         200      -5.446    -5.44632 0.000190412
         201    -5.44645    -5.44632 0.000189465
         202    -5.44658    -5.44632 0.000188532
         203    -5.44671    -5.44632 0.000187612
         204    -5.44652    -5.44633 0.000186695
         205    -5.44697    -5.44633 0.000185811
         206    -5.44775    -5.44634 0.000185037
         207    -5.44788    -5.44634 0.000184293
         208    -5.44801    -5.44635  0.00018358
         209    -5.44846    -5.44636 0.000182979
         210    -5.44859    -5.44637 0.000182415
         211    -5.44904    -5.44638 0.000181987
         212    -5.44981     -5.4464 0.000181844
         213    -5.45025    -5.44642 0.000181888
         214     -5.4494    -5.44643 0.000181572
         215    -5.44984    -5.44645 0.000181419
         216    -5.45028    -5.44647 0.000181445
         217    -5.45072    -5.44649 0.000181662
         218    -5.45115    -5.44651 0.000182083
         219    -5.45125    -5.44653 0.000182536
         220    -5.45135    -5.44655 0.000183018
         221    -5.45209    -5.44658   0.0001839
         222    -5.45251     -5.4466 0.000185002
         223    -5.45292    -5.44663 0.000186328
         224    -5.45332    -5.44666 0.000187877
         225    -5.45405    -5.44669 0.000189891
         226    -5.45347    -5.44672 0.000191406
         227    -5.45322    -5.44675 0.000192689
         228     -5.4536    -5.44678 0.000194172
         229    -5.45398    -5.44681 0.000195853
         230    -5.45339    -5.44684 0.000197074
         231    -5.45278    -5.44687 0.000197892
         232     -5.4525    -5.44689 0.000198522
         233    -5.45253    -5.44692  0.00019914
         234    -5.45288    -5.44694 0.000199916
         235    -5.45323    -5.44697 0.000200848
         236    -5.45292    -5.44699 0.000201576
         237    -5.45326    -5.44702  0.00020245
         238    -5.45359    -5.44705  0.00020347
         239    -5.45391    -5.44708 0.000204633
         240     -5.4539     -5.4471 0.000205746
         241    -5.45453    -5.44714 0.000207189
         242    -5.45452    -5.44717 0.000208566
         243    -5.45514     -5.4472 0.000210273
         244    -5.45511    -5.44723 0.000211896
         245    -5.45637    -5.44727 0.000214291
         246    -5.45666    -5.44731 0.000216792
         247    -5.45597    -5.44734  0.00021873
         248    -5.45527    -5.44737 0.000220171
         249    -5.45554    -5.44741 0.000221714
         250    -5.45548    -5.44744 0.000223165
         251    -5.45509    -5.44747 0.000224347
         252    -5.45502     -5.4475 0.000225448
         253    -5.45527    -5.44753 0.000226637
         254    -5.45454    -5.44756  0.00022742
         255    -5.45446    -5.44758 0.000228133
         256    -5.45405    -5.44761 0.000228635
         257    -5.45363    -5.44763 0.000228943
         258    -5.45354    -5.44766 0.000229197
         259    -5.45312    -5.44768  0.00022928
         260    -5.45334     -5.4477  0.00022943
         261    -5.45388    -5.44772 0.000229771
         262    -5.45378    -5.44775 0.000230052
         263    -5.45367    -5.44777 0.000230276
         264    -5.45355    -5.44779 0.000230443
         265    -5.45311    -5.44781 0.000230446
         266    -5.45299    -5.44783 0.000230402
         267     -5.4532    -5.44785 0.000230415
         268     -5.4534    -5.44787 0.000230485
         269    -5.45328    -5.44789 0.000230504
         270    -5.45315    -5.44791 0.000230473
         271    -5.45368    -5.44793 0.000230602
         272    -5.45355    -5.44795 0.000230677
         273    -5.45342    -5.44797   0.0002307
         274    -5.45264    -5.44799 0.000230487
         275    -5.45284    -5.44801 0.000230322
         276    -5.45271    -5.44802 0.000230115
         277    -5.45258    -5.44804 0.000229871
         278    -5.45342    -5.44806 0.000229856
         279    -5.45329    -5.44808 0.000229795
         280    -5.45283     -5.4481 0.000229601
         281    -5.45303    -5.44811 0.000229454
         282    -5.45355    -5.44813 0.000229449
         283    -5.45342    -5.44815 0.000229397
         284    -5.45265    -5.44817 0.000229135
         285    -5.45252    -5.44818 0.000228839
         286    -5.45207     -5.4482 0.000228443
         287    -5.45195    -5.44821 0.000228022
         288    -5.45183    -5.44822 0.000227576
         289    -5.45106    -5.44823 0.000227001
         290    -5.45159    -5.44824 0.000226515
         291    -5.45148    -5.44825 0.000226009
         292    -5.45202    -5.44827 0.000225602
         293    -5.45158    -5.44828 0.000225115
         294    -5.45083    -5.44829 0.000224516
         295    -5.45072     -5.4483 0.000223907
         296    -5.45094     -5.4483 0.000223328
         297    -5.45019    -5.44831 0.000222667
         298    -5.45042    -5.44832 0.000222031
         299    -5.45161    -5.44833 0.000221562
         300    -5.45087    -5.44834 0.000220986
         301    -5.45046    -5.44834 0.000220364
         302    -5.45069    -5.44835 0.000219771
         303     -5.4506    -5.44836 0.000219171
         304    -5.45019    -5.44837 0.000218533
         305    -5.44946    -5.44837 0.000217847
         306    -5.44939    -5.44837  0.00021716
         307    -5.45028    -5.44838 0.000216542
         308    -5.45086    -5.44839 0.000215988
         309    -5.45079    -5.44839 0.000215429
         310    -5.45072     -5.4484 0.000214865
         311    -5.45098    -5.44841 0.000214334
         312    -5.45092    -5.44842 0.000213799
         313    -5.45054    -5.44842 0.000213224
         314    -5.45049    -5.44843 0.000212646
         315    -5.44979    -5.44844 0.000212014
         316    -5.44942    -5.44844 0.000211366
         317    -5.44937    -5.44844  0.00021072
         318    -5.44966    -5.44845 0.000210092
         319    -5.44962    -5.44845 0.000209466
         320    -5.44861    -5.44845 0.000208812
         321    -5.44891    -5.44845 0.000208166
         322    -5.44888    -5.44845 0.000207524
         323    -5.44885    -5.44845 0.000206885
         324    -5.44915    -5.44846 0.000206258
         325    -5.44783    -5.44845 0.000205632
         326    -5.44749    -5.44845 0.000205022
         327    -5.44748    -5.44845 0.000204417
         328    -5.44779    -5.44845 0.000203804
         329    -5.44745    -5.44844 0.000203207
         330    -5.44712    -5.44844  0.00020263
         331    -5.44679    -5.44843 0.000202079
         332    -5.44711    -5.44843  0.00020151
         333    -5.44744    -5.44843 0.000200926
         334    -5.44841    -5.44843 0.000200325
         335    -5.44809    -5.44843 0.000199729
         336     -5.4481    -5.44843 0.000199137
         337    -5.44811    -5.44842 0.000198549
         338    -5.44877    -5.44843 0.000197964
         339     -5.4491    -5.44843  0.00019739
         340    -5.44879    -5.44843 0.000196812
         341    -5.44783    -5.44843 0.000196243
         342    -5.44753    -5.44842 0.000195686
         343    -5.44755    -5.44842 0.000195133
         344    -5.44821    -5.44842 0.000194566
         345    -5.44823    -5.44842 0.000194003
         346    -5.44858    -5.44842 0.000193443
         347     -5.4486    -5.44842 0.000192886
         348    -5.44862    -5.44842 0.000192333
         349    -5.44897    -5.44842 0.000191788
         350    -5.44803    -5.44842 0.000191244
         351     -5.4487    -5.44842   0.0001907
         352    -5.44808    -5.44842 0.000190161
         353    -5.44747    -5.44842 0.000189642
         354    -5.44782    -5.44842 0.000189113
         355    -5.44753    -5.44842 0.000188597
         356    -5.44756    -5.44841 0.000188083
         357    -5.44662    -5.44841 0.000187623
         358    -5.44698     -5.4484 0.000187141
         359    -5.44702     -5.4484  0.00018666
         360    -5.44705     -5.4484 0.000186179
         361    -5.44741    -5.44839 0.000185683
         362    -5.44648    -5.44839 0.000185245
         363    -5.44685    -5.44838 0.000184783
         364    -5.44657    -5.44838 0.000184343
         365    -5.44629    -5.44837 0.000183927
         366    -5.44666    -5.44837 0.000183484
         367    -5.44703    -5.44836  0.00018302
         368     -5.4474    -5.44836 0.000182542
         369    -5.44713    -5.44836 0.000182078
         370    -5.44718    -5.44836 0.000181613
         371    -5.44724    -5.44835 0.000181149
         372    -5.44697    -5.44835   0.0001807
         373    -5.44736    -5.44835 0.000180235
