 #    Gen:      Top 50% av.
           1     36.8216
           2     34.6751
           3     32.5048
           4      30.431
           5     28.4595
           6     26.4489
           7     24.9145
           8     23.8045
           9     22.7586
          10     21.6784
          11     20.7397
          12     19.5408
          13     18.5235
          14     17.5395
          15     17.2038
          16     16.7894
          17     16.7992
          18      16.334
          19     15.5538
          20     14.7307
          21     14.2673
          22     13.6924
          23     13.4276
          24     13.4484
          25     12.8759
          26     12.7678
          27     12.2618
          28     12.1401
          29      11.656
          30     11.5938
          31     11.4166
          32     11.3947
          33     11.0748
          34     11.0017
          35     10.7624
          36     10.5522
          37     10.4703
          38     10.3302
          39     10.1748
          40     10.1626
          41     9.83514
          42     9.67332
          43     9.60194
          44     9.26098
          45     9.27684
          46     9.34042
          47     9.22091
          48     8.98214
          49     8.82581
          50     8.59088
          51     8.62598
          52     8.52967
          53     8.43032
          54     8.55616
          55      8.7053
          56     8.52496
          57     8.56551
          58     8.38615
          59     8.48917
          60     8.35737
          61     8.53717
          62      8.3747
          63     8.30003
          64     8.16253
          65     7.95733
          66     8.01797
          67     8.01796
          68     8.10594
          69     7.96998
          70     7.97904
