 #    Gen:      Top 50% av.
           1      37.011
           2     34.7071
           3     32.5065
           4     30.9282
           5     29.6667
           6     28.4364
           7     27.2932
           8     25.5852
           9     23.7331
          10     22.3051
          11      21.107
          12     20.1302
          13     19.2162
          14     18.6956
          15     18.1544
          16      17.673
          17     17.3024
          18      17.049
          19     16.8702
          20      16.842
          21     16.3166
          22     15.9403
          23     15.2899
          24     14.8904
          25     14.6431
          26     14.3295
          27     14.2532
          28      13.982
          29     13.9246
          30     13.5873
          31      13.424
          32     13.1176
          33     12.5851
          34      12.396
          35     12.2764
          36     12.0124
          37      11.854
          38     11.4859
          39     11.2423
          40     11.2392
          41     11.0327
          42     10.6737
          43     10.6587
          44     10.3401
          45     10.1311
          46     10.2515
          47     10.3338
          48     10.3713
          49     10.0897
          50     9.86165
          51     9.51727
          52     9.33541
          53     9.07846
          54     8.68957
          55      8.7572
          56      8.5006
          57      8.5088
          58     8.50296
          59     8.19091
          60     8.17034
          61     8.27825
          62      8.1317
          63      8.1956
          64     8.10804
          65     8.13917
          66     7.89432
          67     7.98671
          68     8.00101
          69     7.77197
          70     8.85171
          71     7.78901
          72     7.80905
          73     11.0797
          74     10.6807
          75      10.346
          76     10.4423
          77      10.391
          78     10.4234
          79     10.1734
          80     10.0799
          81     9.85561
          82     9.83551
          83     9.54736
          84     9.33618
          85     9.18672
          86     9.08656
          87     9.12446
          88     8.95471
          89     8.70509
          90     8.76819
          91     8.70143
          92     8.49617
          93     8.52139
          94     8.20117
          95     8.04202
          96     7.88925
          97      7.7102
          98     7.81798
          99     7.85821
         100     7.77587
         101     7.66578
         102     7.44657
         103     7.57886
         104      7.3999
         105     7.24388
         106     7.27027
         107     7.13976
         108     7.12969
         109      7.1496
         110     7.13951
         111     7.08052
         112     7.00316
         113     6.95351
         114     6.89532
         115     7.00915
