#    Position:        Index:           x_coord:          y_coord:
           0           0   -0.754701   -0.660164
           1          19  0.00371557   -0.951432
           2          21    0.303909   -0.572297
           3          31    0.426846   -0.776446
           4          22     0.35676   -0.803571
           5           3    0.410058   -0.827986
           6           6    0.552096   -0.957725
           7          29    0.626571   -0.964115
           8          32     0.97095   -0.201956
           9          18    0.863731    0.508103
          10          28    0.837711    0.879751
          11          26    0.531528    0.940534
          12           4    0.312037    0.810967
          13          24    0.154538     0.68001
          14           5   -0.257007    0.673133
          15          27    -0.54778    0.989221
          16          10   -0.870714    0.509307
          17          15  -0.0564068    0.169834
          18           2  -0.0457706    0.143669
          19          13  -0.0417242  -0.0114806
          20          20    0.372012   -0.261299
          21           1    0.459299   -0.337669
          22          16    0.233619    0.160937
          23          12  -0.0135474    0.512095
          24          23    -0.75808    0.360274
          25           8   -0.441534   0.0917158
          26           7   -0.663351    0.144877
          27           9   -0.965397    0.166357
          28          25   -0.894478   -0.092985
          29          33   -0.454497    -0.49727
          30          14   -0.484213   -0.521464
          31          11   -0.533686   -0.613414
          32          17   -0.832092   -0.681482
          33          30   -0.732392   -0.893041
