#    Position:        Index:           x_coord:          y_coord:
           0           0   -0.754701   -0.660164
           1          30   -0.732392   -0.893041
           2          33   -0.454497    -0.49727
           3          14   -0.484213   -0.521464
           4          11   -0.533686   -0.613414
           5          17   -0.832092   -0.681482
           6          25   -0.894478   -0.092985
           7           9   -0.965397    0.166357
           8           7   -0.663351    0.144877
           9           8   -0.441534   0.0917158
          10          23    -0.75808    0.360274
          11          10   -0.870714    0.509307
          12          27    -0.54778    0.989221
          13           5   -0.257007    0.673133
          14          12  -0.0135474    0.512095
          15          15  -0.0564068    0.169834
          16           2  -0.0457706    0.143669
          17          13  -0.0417242  -0.0114806
          18          16    0.233619    0.160937
          19          24    0.154538     0.68001
          20           4    0.312037    0.810967
          21          26    0.531528    0.940534
          22          28    0.837711    0.879751
          23          18    0.863731    0.508103
          24          32     0.97095   -0.201956
          25           1    0.459299   -0.337669
          26          20    0.372012   -0.261299
          27          21    0.303909   -0.572297
          28          31    0.426846   -0.776446
          29          29    0.626571   -0.964115
          30           6    0.552096   -0.957725
          31           3    0.410058   -0.827986
          32          22     0.35676   -0.803571
          33          19  0.00371557   -0.951432
