#     BLOCK:  ACTUAL_PE:     PE_AVE:      ERROR:
         152    -6.64735    -6.63256  0.00154636
         153    -6.64693    -6.63266   0.0015391
         154     -6.6461    -6.63274  0.00153158
         155    -6.64552    -6.63283  0.00152392
         156    -6.64583    -6.63291  0.00151643
         157    -6.64607    -6.63299  0.00150909
         158    -6.64527    -6.63307  0.00150153
         159    -6.64471    -6.63314  0.00149387
         160     -6.6441    -6.63321  0.00148611
         161    -6.64341    -6.63328  0.00147823
         162     -6.6417    -6.63333  0.00147002
         163    -6.64058    -6.63337  0.00146167
         164    -6.63941    -6.63341  0.00145322
         165     -6.6382    -6.63344   0.0014447
         166    -6.63694    -6.63346  0.00143616
         167    -6.63565    -6.63347  0.00142762
         168    -6.63465    -6.63348  0.00141914
         169    -6.63363    -6.63348  0.00141074
         170    -6.63226    -6.63347  0.00140246
         171    -6.63088    -6.63346  0.00139434
         172    -6.62917    -6.63343  0.00138645
         173    -6.62842     -6.6334  0.00137874
         174    -6.62736    -6.63337  0.00137126
         175    -6.62631    -6.63333  0.00136401
         176    -6.62495    -6.63328  0.00135709
         177    -6.62393    -6.63323  0.00135045
         178    -6.62294    -6.63317   0.0013441
         179    -6.62167    -6.63311  0.00133813
         180    -6.62043    -6.63304  0.00133255
         181    -6.61957    -6.63296  0.00132726
         182    -6.61811    -6.63288  0.00132247
         183    -6.61736    -6.63279  0.00131796
         184    -6.61602     -6.6327  0.00131395
         185    -6.61475    -6.63261  0.00131043
         186    -6.61421    -6.63251  0.00130711
         187    -6.61309     -6.6324  0.00130424
         188    -6.61239     -6.6323  0.00130164
         189    -6.61145    -6.63219  0.00129941
         190    -6.61093    -6.63208  0.00129738
         191    -6.61083    -6.63196  0.00129535
         192    -6.61052    -6.63185  0.00129341
         193    -6.61063    -6.63174  0.00129137
         194    -6.61054    -6.63163  0.00128933
         195    -6.61055    -6.63152  0.00128724
         196    -6.61101    -6.63142  0.00128492
         197    -6.61094    -6.63132   0.0012826
         198    -6.61067    -6.63121  0.00128035
         199    -6.61052    -6.63111  0.00127813
         200    -6.61018      -6.631  0.00127602
         201    -6.61126    -6.63091  0.00127344
         202    -6.61215    -6.63081  0.00127052
         203    -6.61317    -6.63073  0.00126723
         204      -6.614    -6.63064  0.00126367
         205     -6.6156    -6.63057  0.00125963
         206    -6.61766    -6.63051  0.00125507
         207     -6.6192    -6.63045   0.0012502
         208    -6.62088    -6.63041  0.00124503
         209      -6.623    -6.63037  0.00123958
         210    -6.62493    -6.63035  0.00123395
         211     -6.6273    -6.63033  0.00122819
         212    -6.63013    -6.63033  0.00122239
         213    -6.63275    -6.63034  0.00121671
         214    -6.63419    -6.63036  0.00121115
         215    -6.63705    -6.63039  0.00120592
         216    -6.64002    -6.63044  0.00120116
         217    -6.64311    -6.63049  0.00119705
         218     -6.6463    -6.63057  0.00119375
         219    -6.64927    -6.63065  0.00119135
         220    -6.65234    -6.63075     0.00119
         221    -6.65615    -6.63087  0.00119016
         222    -6.65973      -6.631  0.00119187
         223    -6.66339    -6.63114  0.00119535
         224    -6.66714     -6.6313  0.00120077
         225    -6.67129    -6.63148  0.00120851
         226    -6.67421    -6.63167  0.00121787
         227    -6.67752    -6.63187  0.00122914
         228    -6.68155    -6.63209  0.00124291
         229    -6.68562    -6.63232  0.00125928
         230    -6.68878    -6.63257   0.0012775
         231    -6.69198    -6.63282  0.00129761
         232    -6.69555    -6.63309  0.00131988
         233    -6.69947    -6.63338   0.0013446
         234    -6.70374    -6.63368  0.00137207
         235    -6.70804      -6.634  0.00140224
         236     -6.7117    -6.63433  0.00143443
         237    -6.71602    -6.63467  0.00146921
         238    -6.72034    -6.63503  0.00150649
         239    -6.72467    -6.63541  0.00154617
         240    -6.72866    -6.63579  0.00158779
         241    -6.73328     -6.6362  0.00163192
         242    -6.73724    -6.63662  0.00167774
         243    -6.74182    -6.63705   0.0017258
         244    -6.74573    -6.63749  0.00177527
         245    -6.75089    -6.63796  0.00182737
         246    -6.75505    -6.63843  0.00188091
         247    -6.75819    -6.63892  0.00193477
         248    -6.76128    -6.63941  0.00198889
         249    -6.76529    -6.63992  0.00204414
         250    -6.76891    -6.64043  0.00210007
         251    -6.77214    -6.64096  0.00215626
         252    -6.77563    -6.64149  0.00221294
         253    -6.77936    -6.64204   0.0022703
         254    -6.78205    -6.64259  0.00232731
         255     -6.7853    -6.64315  0.00238452
         256    -6.78814    -6.64371  0.00244154
         257    -6.79088    -6.64429  0.00249829
         258    -6.79386    -6.64487  0.00255499
         259    -6.79641    -6.64545  0.00261127
         260    -6.79951    -6.64604   0.0026676
         261    -6.80283    -6.64665  0.00272418
         262     -6.8054    -6.64725  0.00278035
         263    -6.80785    -6.64786  0.00283605
         264    -6.81019    -6.64848  0.00289119
         265    -6.81209    -6.64909  0.00294547
         266     -6.8142    -6.64971  0.00299908
         267    -6.81651    -6.65034  0.00305221
         268     -6.8187    -6.65097   0.0031048
         269    -6.82044     -6.6516  0.00315653
         270    -6.82205    -6.65223  0.00320735
         271    -6.82419    -6.65286  0.00325768
         272    -6.82556     -6.6535  0.00330699
         273    -6.82679    -6.65413  0.00335525
         274    -6.82725    -6.65476  0.00340197
         275    -6.82855     -6.6554  0.00344779
         276    -6.82939    -6.65603  0.00349246
         277    -6.83011    -6.65666  0.00353595
         278    -6.83167    -6.65729  0.00357883
         279    -6.83212    -6.65791  0.00362045
         280    -6.83212    -6.65853  0.00366059
         281    -6.83265    -6.65915  0.00369963
         282    -6.83336    -6.65977  0.00373773
         283     -6.8333    -6.66038  0.00377449
         284    -6.83247    -6.66099  0.00380952
         285    -6.83216    -6.66159   0.0038432
         286     -6.8314    -6.66218  0.00387536
         287    -6.83084    -6.66277  0.00390615
         288    -6.83016    -6.66335  0.00393559
         289    -6.82871    -6.66393  0.00396335
         290    -6.82845    -6.66449  0.00399008
         291    -6.82742    -6.66505  0.00401546
         292    -6.82693    -6.66561  0.00403979
         293    -6.82535    -6.66615  0.00406263
         294    -6.82334    -6.66669  0.00408384
         295    -6.82188    -6.66721  0.00410374
         296    -6.82063    -6.66773  0.00412248
         297    -6.81831    -6.66824  0.00413966
         298    -6.81687    -6.66874   0.0041557
         299     -6.8163    -6.66923  0.00417101
         300     -6.8137    -6.66971  0.00418481
         301    -6.81132    -6.67018  0.00419727
         302     -6.8095    -6.67064  0.00420864
         303    -6.80728     -6.6711  0.00421884
         304    -6.80464    -6.67153  0.00422777
         305     -6.8016    -6.67196  0.00423536
         306    -6.79913    -6.67238  0.00424186
         307    -6.79755    -6.67278  0.00424759
         308    -6.79558    -6.67318  0.00425247
         309    -6.79289    -6.67357  0.00425632
         310    -6.79013    -6.67395  0.00425917
         311    -6.78764    -6.67431  0.00426113
         312    -6.78476    -6.67467  0.00426215
         313    -6.78151    -6.67501  0.00426218
         314    -6.77852    -6.67534  0.00426134
         315    -6.77483    -6.67565   0.0042595
         316    -6.77142    -6.67596  0.00425679
         317    -6.76829    -6.67625  0.00425331
         318    -6.76544    -6.67653  0.00424918
         319    -6.76223     -6.6768  0.00424434
         320    -6.75802    -6.67705  0.00423866
         321    -6.75506    -6.67729  0.00423242
         322    -6.75176    -6.67752  0.00422559
         323    -6.74843    -6.67774   0.0042182
         324     -6.7454    -6.67795  0.00421035
         325    -6.74073    -6.67815  0.00420182
         326    -6.73701    -6.67833  0.00419281
         327     -6.7336     -6.6785  0.00418339
         328     -6.7305    -6.67865  0.00417364
         329    -6.72675     -6.6788  0.00416352
         330    -6.72298    -6.67893  0.00415305
         331    -6.71921    -6.67906  0.00414229
         332    -6.71609    -6.67917  0.00413131
         333    -6.71297    -6.67927  0.00412015
         334     -6.7105    -6.67936  0.00410888
         335    -6.70674    -6.67944  0.00409742
         336    -6.70331    -6.67952  0.00408585
         337    -6.69988    -6.67958  0.00407417
         338    -6.69712    -6.67963  0.00406244
         339    -6.69404    -6.67967  0.00405068
         340    -6.69033     -6.6797  0.00403889
         341    -6.68598    -6.67972  0.00402709
         342     -6.6823    -6.67973  0.00401532
         343    -6.67896    -6.67972  0.00400362
         344    -6.67629    -6.67971  0.00399199
         345      -6.673     -6.6797  0.00398047
         346    -6.67004    -6.67967  0.00396906
         347    -6.66679    -6.67963  0.00395779
         348    -6.66356    -6.67958  0.00394669
         349    -6.66068    -6.67953  0.00393575
         350    -6.65653    -6.67946  0.00392506
         351    -6.65403    -6.67939  0.00391454
         352    -6.65026    -6.67931   0.0039043
         353    -6.64652    -6.67922  0.00389434
         354    -6.64379    -6.67912  0.00388463
         355    -6.64043    -6.67901  0.00387521
         356    -6.63743    -6.67889  0.00386609
         357     -6.6335    -6.67876  0.00385735
         358    -6.63089    -6.67863  0.00384889
         359      -6.628    -6.67849  0.00384075
         360    -6.62514    -6.67834  0.00383294
         361    -6.62265    -6.67819  0.00382543
         362     -6.6189    -6.67802  0.00381836
         363    -6.61648    -6.67785  0.00381161
         364    -6.61347    -6.67768  0.00380524
         365    -6.61049    -6.67749  0.00379926
         366    -6.60821     -6.6773  0.00379359
         367    -6.60598    -6.67711  0.00378823
         368    -6.60379    -6.67691  0.00378317
         369    -6.60101     -6.6767   0.0037785
         370    -6.59861    -6.67649  0.00377418
         371    -6.59627    -6.67628   0.0037702
         372    -6.59365    -6.67605   0.0037666
         373    -6.59175    -6.67583  0.00376328
         374    -6.58894     -6.6756  0.00376038
         375    -6.58684    -6.67536  0.00375779
         376    -6.58449    -6.67512  0.00375556
         377    -6.58285    -6.67487  0.00375357
         378    -6.58032    -6.67462  0.00375196
         379    -6.57787    -6.67437  0.00375074
         380    -6.57549    -6.67411  0.00374988
         381    -6.57385    -6.67384  0.00374926
         382    -6.57229    -6.67358  0.00374886
         383    -6.57147    -6.67331  0.00374854
         384    -6.57042    -6.67304  0.00374834
         385    -6.56979    -6.67278  0.00374819
         386    -6.56861    -6.67251  0.00374818
         387    -6.56851    -6.67224  0.00374811
         388     -6.5685    -6.67197  0.00374798
         389    -6.56764     -6.6717  0.00374792
         390     -6.5672    -6.67143  0.00374788
         391    -6.56688    -6.67117  0.00374782
         392     -6.5657     -6.6709   0.0037479
         393    -6.56497    -6.67063  0.00374805
         394    -6.56402    -6.67036  0.00374829
         395     -6.5632    -6.67009   0.0037486
         396    -6.56283    -6.66981  0.00374891
         397    -6.56322    -6.66955  0.00374907
         398    -6.56277    -6.66928  0.00374923
         399    -6.56277    -6.66901  0.00374933
         400    -6.56323    -6.66875  0.00374927
         401     -6.5638    -6.66848  0.00374904
         402    -6.56386    -6.66822  0.00374874
         403    -6.56437    -6.66797  0.00374828
         404     -6.5663    -6.66772  0.00374744
         405    -6.56706    -6.66747  0.00374642
         406     -6.5686    -6.66722   0.0037451
         407    -6.56993    -6.66698  0.00374352
         408    -6.57106    -6.66675  0.00374172
         409    -6.57328    -6.66652  0.00373954
         410     -6.5753     -6.6663  0.00373704
         411     -6.5771    -6.66608  0.00373424
         412    -6.57837    -6.66587  0.00373124
         413    -6.58039    -6.66566  0.00372794
         414     -6.5822    -6.66546  0.00372438
         415    -6.58442    -6.66526  0.00372052
         416    -6.58674    -6.66508  0.00371637
         417    -6.58916    -6.66489  0.00371191
         418    -6.59199    -6.66472  0.00370713
         419    -6.59457    -6.66455  0.00370206
         420    -6.59756    -6.66439  0.00369668
         421    -6.60062    -6.66424    0.003691
         422    -6.60375     -6.6641  0.00368503
         423    -6.60661    -6.66396  0.00367883
         424    -6.60954    -6.66383  0.00367239
         425    -6.61284    -6.66371  0.00366571
         426    -6.61586     -6.6636  0.00365882
         427     -6.6186     -6.6635  0.00365177
         428     -6.6217     -6.6634  0.00364455
         429    -6.62483    -6.66331  0.00363716
         430    -6.62798    -6.66323  0.00362963
         431    -6.63115    -6.66315  0.00362197
         432    -6.63434    -6.66308   0.0036142
         433    -6.63753    -6.66303  0.00360634
         434    -6.64105    -6.66297  0.00359838
         435     -6.6436    -6.66293  0.00359038
         436    -6.64646    -6.66289  0.00358235
         437    -6.64964    -6.66286  0.00357428
         438     -6.6528    -6.66284  0.00356619
         439    -6.65594    -6.66282   0.0035581
         440    -6.65937    -6.66282  0.00355003
         441    -6.66245    -6.66281  0.00354198
         442    -6.66581    -6.66282  0.00353397
         443    -6.66817    -6.66283  0.00352601
         444    -6.67048    -6.66285  0.00351811
         445    -6.67307    -6.66287  0.00351028
         446    -6.67593     -6.6629  0.00350253
         447    -6.67906    -6.66294  0.00349488
         448     -6.6818    -6.66298  0.00348734
         449    -6.68481    -6.66303  0.00347991
         450    -6.68776    -6.66308  0.00347261
         451    -6.69032    -6.66315  0.00346543
         452     -6.6928    -6.66321  0.00345839
         453    -6.69521    -6.66328  0.00345148
         454    -6.69787    -6.66336  0.00344471
         455    -6.70013    -6.66344  0.00343809
         456    -6.70231    -6.66352  0.00343161
         457    -6.70505    -6.66361   0.0034253
         458    -6.70674    -6.66371  0.00341912
         459    -6.70867    -6.66381  0.00341307
         460    -6.71019    -6.66391  0.00340714
         461    -6.71292    -6.66401  0.00340141
         462    -6.71459    -6.66412  0.00339581
         463    -6.71489    -6.66423  0.00339024
         464    -6.71606    -6.66434  0.00338477
         465    -6.71714    -6.66446   0.0033794
         466    -6.71976    -6.66458  0.00337423
         467    -6.72131     -6.6647  0.00336919
         468     -6.7231    -6.66482   0.0033643
         469     -6.7248    -6.66495  0.00335956
         470    -6.72543    -6.66508  0.00335487
         471    -6.72565    -6.66521  0.00335022
         472    -6.72611    -6.66534   0.0033456
         473    -6.72616    -6.66547    0.003341
         474    -6.72741     -6.6656   0.0033365
         475    -6.72696    -6.66573  0.00333198
         476    -6.72739    -6.66586   0.0033275
         477    -6.72742    -6.66598  0.00332302
         478    -6.72801    -6.66611   0.0033186
         479    -6.72787    -6.66624  0.00331418
         480    -6.72764    -6.66637  0.00330974
         481    -6.72766     -6.6665  0.00330531
         482    -6.72793    -6.66663  0.00330091
         483    -6.72779    -6.66675  0.00329651
         484     -6.7279    -6.66688  0.00329211
         485    -6.72858    -6.66701  0.00328778
         486     -6.7279    -6.66713  0.00328341
         487    -6.72747    -6.66726    0.003279
         488    -6.72664    -6.66738  0.00327454
         489    -6.72608     -6.6675  0.00327004
         490    -6.72513    -6.66761  0.00326548
         491    -6.72476    -6.66773   0.0032609
         492    -6.72335    -6.66784  0.00325624
         493    -6.72189    -6.66795  0.00325148
         494    -6.72069    -6.66806  0.00324665
         495    -6.72009    -6.66817  0.00324179
         496     -6.7191    -6.66827  0.00323688
         497    -6.71742    -6.66837  0.00323188
         498    -6.71633    -6.66846  0.00322682
         499    -6.71552    -6.66856  0.00322173
         500    -6.71401    -6.66865  0.00321657
         501    -6.71279    -6.66874  0.00321136
         502    -6.71152    -6.66882  0.00320609
         503    -6.70989     -6.6689  0.00320076
         504    -6.70919    -6.66898   0.0031954
         505    -6.70813    -6.66906  0.00319002
         506    -6.70573    -6.66913  0.00318453
         507    -6.70428     -6.6692  0.00317901
         508    -6.70214    -6.66927  0.00317341
         509    -6.70029    -6.66933  0.00316776
         510    -6.69809    -6.66938  0.00316205
         511    -6.69747    -6.66944  0.00315634
         512    -6.69585    -6.66949   0.0031506
         513    -6.69453    -6.66954  0.00314484
         514    -6.69318    -6.66959  0.00313905
         515    -6.69115    -6.66963  0.00313324
         516    -6.68942    -6.66967   0.0031274
         517    -6.68896     -6.6697  0.00312157
         518    -6.68686    -6.66974  0.00311572
         519    -6.68571    -6.66977  0.00310987
         520    -6.68356    -6.66979    0.003104
         521    -6.68171    -6.66982  0.00309813
         522    -6.68017    -6.66984  0.00309226
         523    -6.67796    -6.66985  0.00308639
         524    -6.67637    -6.66986  0.00308052
         525    -6.67477    -6.66987  0.00307467
         526     -6.6725    -6.66988  0.00306883
         527    -6.67022    -6.66988    0.003063
         528    -6.66825    -6.66988   0.0030572
         529    -6.66593    -6.66987  0.00305143
         530    -6.66393    -6.66986   0.0030457
         531    -6.66224    -6.66984  0.00303999
         532    -6.66022    -6.66983  0.00303433
         533    -6.65851     -6.6698  0.00302872
         534    -6.65614    -6.66978  0.00302315
         535    -6.65409    -6.66975  0.00301764
         536    -6.65172    -6.66972   0.0030122
         537    -6.64934    -6.66968  0.00300683
         538    -6.64761    -6.66964  0.00300152
         539    -6.64588    -6.66959  0.00299628
         540    -6.64318    -6.66954  0.00299113
         541    -6.64114    -6.66949  0.00298606
         542     -6.6391    -6.66944  0.00298108
         543    -6.63708    -6.66938  0.00297618
         544    -6.63409    -6.66931  0.00297142
         545    -6.63177    -6.66924  0.00296676
         546    -6.63011    -6.66917   0.0029622
         547    -6.62814     -6.6691  0.00295773
         548     -6.6262    -6.66902  0.00295337
         549    -6.62428    -6.66894  0.00294911
         550    -6.62206    -6.66885  0.00294498
         551    -6.62052    -6.66876  0.00294094
         552    -6.61869    -6.66867  0.00293701
         553    -6.61656    -6.66858  0.00293321
