#     BLOCK:   ACTUAL_P:     P_AVE:       ERROR:
         168    0.955746    0.953065 0.000890974
         169    0.954837    0.953076 0.000885764
         170    0.953916     0.95308 0.000880567
         171    0.952981     0.95308 0.000875418
         172    0.952041    0.953074 0.000870349
         173    0.951076    0.953062 0.000865395
         174    0.950115    0.953045 0.000860587
         175    0.949156    0.953023 0.000855956
         176     0.94821    0.952996  0.00085153
         177    0.947268    0.952963 0.000847333
         178    0.946341    0.952926 0.000843389
         179    0.945438    0.952884 0.000839715
         180    0.944559    0.952838 0.000836322
         181      0.9437    0.952788 0.000833224
         182    0.942887    0.952733  0.00083042
         183    0.942096    0.952675 0.000827914
         184    0.941356    0.952614 0.000825697
         185    0.940661    0.952549 0.000823758
         186        0.94    0.952482 0.000822087
         187    0.939402    0.952412 0.000820661
         188    0.938852    0.952339 0.000819459
         189    0.938366    0.952266 0.000818452
         190    0.937934     0.95219 0.000817613
         191    0.937561    0.952114 0.000816912
         192    0.937262    0.952036 0.000816311
         193    0.937027    0.951958 0.000815778
         194    0.936872    0.951881 0.000815271
         195    0.936793    0.951803 0.000814753
         196    0.936785    0.951727 0.000814192
         197    0.936869    0.951651 0.000813544
         198    0.937042    0.951577 0.000812774
         199    0.937299    0.951506 0.000811851
         200    0.937648    0.951436 0.000810743
         201    0.938057     0.95137 0.000809437
         202    0.938562    0.951306 0.000807909
         203    0.939156    0.951247 0.000806144
         204    0.939845    0.951191 0.000804127
         205     0.94061    0.951139 0.000801859
         206    0.941459    0.951092 0.000799343
         207     0.94241     0.95105 0.000796581
         208     0.94345    0.951014 0.000793589
         209    0.944572    0.950983  0.00079039
         210    0.945788    0.950958 0.000787013
         211    0.947085     0.95094 0.000783497
         212     0.94846    0.950928 0.000779889
         213    0.949927    0.950923 0.000776242
         214    0.951504    0.950926 0.000772619
         215    0.953137    0.950936 0.000769094
         216     0.95485    0.950954 0.000765747
         217     0.95664    0.950981 0.000762666
         218    0.958505    0.951015 0.000759948
         219    0.960452    0.951058 0.000757699
         220     0.96247     0.95111 0.000756028
         221    0.964543    0.951171 0.000755047
         222    0.966686    0.951241 0.000754873
         223    0.968892     0.95132 0.000755627
         224    0.971158    0.951408 0.000757426
         225    0.973473    0.951507 0.000760381
         226    0.975867    0.951614 0.000764619
         227    0.978304    0.951732 0.000770237
         228    0.980773    0.951859 0.000777319
         229    0.983284    0.951996 0.000785945
         230    0.985853    0.952144 0.000796193
         231    0.988456    0.952301 0.000808116
         232    0.991084    0.952468 0.000821741
         233    0.993733    0.952645 0.000837081
         234    0.996397    0.952832 0.000854131
         235    0.999081    0.953029 0.000872875
         236     1.00179    0.953236 0.000893298
         237      1.0045    0.953452 0.000915346
         238     1.00722    0.953678 0.000938966
         239     1.00994    0.953913 0.000964096
         240     1.01267    0.954158 0.000990672
         241     1.01537    0.954412   0.0010186
         242     1.01809    0.954675  0.00104783
         243     1.02077    0.954947  0.00107824
         244     1.02345    0.955228  0.00110978
         245     1.02609    0.955517  0.00114232
         246     1.02872    0.955815   0.0011758
         247     1.03135    0.956121  0.00121015
         248     1.03395    0.956434   0.0012453
         249     1.03649    0.956756  0.00128113
         250       1.039    0.957085  0.00131757
         251     1.04148    0.957421  0.00135454
         252     1.04391    0.957764  0.00139197
         253     1.04628    0.958114  0.00142975
         254     1.04862     0.95847  0.00146785
         255     1.05089    0.958833  0.00150618
         256     1.05312    0.959201  0.00154467
         257     1.05528    0.959575  0.00158325
         258     1.05738    0.959954  0.00162186
         259     1.05942    0.960338  0.00166044
         260     1.06137    0.960727  0.00169892
         261     1.06326     0.96112  0.00173723
         262     1.06508    0.961516  0.00177534
         263     1.06683    0.961917  0.00181318
         264      1.0685    0.962321  0.00185072
         265     1.07011    0.962727   0.0018879
         266     1.07163    0.963137  0.00192468
         267     1.07306    0.963548  0.00196101
         268     1.07441    0.963962  0.00199684
         269     1.07568    0.964377  0.00203215
         270     1.07687    0.964794  0.00206689
         271     1.07796    0.965212  0.00210103
         272     1.07898     0.96563  0.00213453
         273     1.07991    0.966048  0.00216737
         274     1.08077    0.966467  0.00219953
         275     1.08152    0.966886  0.00223097
         276     1.08218    0.967303  0.00226166
         277     1.08276     0.96772  0.00229158
         278     1.08323    0.968136   0.0023207
         279     1.08363     0.96855  0.00234902
         280     1.08395    0.968962  0.00237651
         281     1.08417    0.969372  0.00240316
         282     1.08429    0.969779  0.00242894
         283     1.08434    0.970184  0.00245386
         284     1.08431    0.970586   0.0024779
         285     1.08419    0.970984  0.00250106
         286     1.08398     0.97138  0.00252333
         287     1.08368    0.971771   0.0025447
         288      1.0833    0.972158  0.00256516
         289     1.08286    0.972541  0.00258473
         290      1.0823     0.97292  0.00260338
         291     1.08168    0.973293  0.00262112
         292     1.08096    0.973662  0.00263795
         293     1.08019    0.974026  0.00265389
         294     1.07935    0.974384  0.00266893
         295     1.07842    0.974737  0.00268308
         296     1.07742    0.975084  0.00269635
         297     1.07636    0.975425  0.00270875
         298     1.07522    0.975759  0.00272028
         299     1.07399    0.976088  0.00273095
         300     1.07273     0.97641  0.00274078
         301      1.0714    0.976726  0.00274978
         302        1.07    0.977035  0.00275797
         303     1.06854    0.977337  0.00276535
         304     1.06703    0.977632  0.00277195
         305     1.06546     0.97792  0.00277778
         306     1.06383      0.9782  0.00278285
         307     1.06213    0.978474  0.00278718
         308     1.06038     0.97874  0.00279079
         309     1.05859    0.978998  0.00279369
         310     1.05676    0.979249  0.00279592
         311     1.05487    0.979492  0.00279748
         312     1.05295    0.979727  0.00279841
         313       1.051    0.979955  0.00279872
         314       1.049    0.980175  0.00279843
         315     1.04697    0.980387  0.00279757
         316     1.04491    0.980591  0.00279615
         317      1.0428    0.980787  0.00279421
         318     1.04066    0.980976  0.00279176
         319      1.0385    0.981156  0.00278883
         320     1.03633    0.981328  0.00278544
         321     1.03411    0.981493  0.00278161
         322     1.03188    0.981649  0.00277737
         323     1.02963    0.981798  0.00277274
         324     1.02735    0.981939  0.00276774
         325     1.02509    0.982071  0.00276241
         326     1.02279    0.982196  0.00275676
         327     1.02048    0.982313  0.00275081
         328     1.01815    0.982423  0.00274459
         329     1.01582    0.982524  0.00273813
         330     1.01349    0.982618  0.00273144
         331     1.01115    0.982704  0.00272455
         332      1.0088    0.982783  0.00271747
         333     1.00644    0.982854  0.00271024
         334     1.00407    0.982917  0.00270287
         335     1.00173    0.982973  0.00269539
         336    0.999388    0.983022  0.00268781
         337     0.99705    0.983064  0.00268015
         338    0.994704    0.983098  0.00267244
         339     0.99237    0.983126   0.0026647
         340    0.990058    0.983146  0.00265694
         341    0.987768     0.98316  0.00264918
         342    0.985475    0.983166  0.00264145
         343    0.983188    0.983166  0.00263375
         344      0.9809     0.98316   0.0026261
         345    0.978638    0.983147  0.00261852
         346    0.976384    0.983127  0.00261102
         347    0.974151    0.983101  0.00260363
         348    0.971934    0.983069  0.00259634
         349    0.969726    0.983031  0.00258919
         350    0.967561    0.982987  0.00258217
         351    0.965382    0.982937   0.0025753
         352    0.963248    0.982881  0.00256859
         353    0.961134    0.982819  0.00256205
         354    0.959019    0.982752  0.00255569
         355    0.956938    0.982679  0.00254953
         356    0.954872    0.982601  0.00254356
         357    0.952847    0.982518   0.0025378
         358    0.950818    0.982429  0.00253226
         359     0.94882    0.982336  0.00252694
         360    0.946846    0.982237  0.00252184
         361    0.944891    0.982133  0.00251697
         362    0.942987    0.982025  0.00251234
         363    0.941083    0.981913  0.00250795
         364    0.939221    0.981795   0.0025038
         365    0.937389    0.981674   0.0024999
         366    0.935573    0.981548  0.00249624
         367    0.933789    0.981418  0.00249283
         368    0.932036    0.981283  0.00248966
         369    0.930329    0.981145  0.00248674
         370     0.92865    0.981003  0.00248406
         371    0.927009    0.980858  0.00248163
         372    0.925412    0.980709  0.00247943
         373    0.923842    0.980556  0.00247746
         374    0.922331    0.980401  0.00247573
         375    0.920851    0.980242  0.00247421
         376    0.919422     0.98008  0.00247291
         377    0.918026    0.979915  0.00247183
         378    0.916698    0.979748  0.00247094
         379    0.915421    0.979579  0.00247024
         380    0.914196    0.979406  0.00246973
         381    0.913013    0.979232  0.00246938
         382    0.911887    0.979056   0.0024692
         383    0.910806    0.978878  0.00246918
         384    0.909794    0.978698  0.00246929
         385    0.908837    0.978516  0.00246954
         386    0.907959    0.978334   0.0024699
         387    0.907128     0.97815  0.00247036
         388    0.906366    0.977965  0.00247091
         389    0.905695    0.977779  0.00247153
         390    0.905091    0.977592  0.00247221
         391     0.90456    0.977406  0.00247294
         392    0.904126    0.977219  0.00247368
         393    0.903764    0.977032  0.00247444
         394    0.903488    0.976845  0.00247519
         395    0.903294    0.976659  0.00247592
         396    0.903176    0.976473  0.00247661
         397    0.903128    0.976289  0.00247725
         398    0.903183    0.976105  0.00247783
         399    0.903318    0.975922  0.00247832
         400    0.903533    0.975742  0.00247873
         401    0.903835    0.975562  0.00247902
         402    0.904237    0.975385   0.0024792
         403    0.904719    0.975209  0.00247924
         404    0.905261    0.975036  0.00247914
         405    0.905917    0.974866  0.00247889
         406    0.906648    0.974698  0.00247847
         407    0.907469    0.974532  0.00247788
         408    0.908382     0.97437   0.0024771
         409    0.909357    0.974211  0.00247614
         410     0.91042    0.974056  0.00247499
         411    0.911572    0.973904  0.00247363
         412    0.912814    0.973755  0.00247206
         413    0.914119    0.973611  0.00247029
         414    0.915505    0.973471  0.00246831
         415    0.916955    0.973334  0.00246612
         416    0.918473    0.973203  0.00246371
         417    0.920056    0.973075   0.0024611
         418    0.921697    0.972952  0.00245828
         419    0.923405    0.972834  0.00245525
         420    0.925164     0.97272  0.00245203
         421    0.926975    0.972612  0.00244861
         422    0.928837    0.972508  0.00244501
         423    0.930752    0.972409  0.00244122
         424    0.932709    0.972316  0.00243725
         425      0.9347    0.972227  0.00243313
         426    0.936732    0.972144  0.00242884
         427    0.938803    0.972066  0.00242441
         428    0.940897    0.971993  0.00241984
         429    0.943016    0.971925  0.00241514
         430    0.945155    0.971863  0.00241032
         431     0.94731    0.971806   0.0024054
         432    0.949479    0.971755  0.00240039
         433    0.951657    0.971708   0.0023953
         434    0.953835    0.971667  0.00239013
         435    0.956034    0.971631  0.00238491
         436    0.958225      0.9716  0.00237964
         437    0.960405    0.971575  0.00237433
         438    0.962578    0.971554    0.002369
         439    0.964739    0.971539  0.00236365
         440    0.966877    0.971528   0.0023583
         441    0.969004    0.971522  0.00235296
         442    0.971102    0.971521  0.00234764
         443    0.973197    0.971525  0.00234234
         444    0.975264    0.971534  0.00233708
         445    0.977296    0.971546  0.00233187
         446    0.979288    0.971564   0.0023267
         447    0.981239    0.971585   0.0023216
         448    0.983159    0.971611  0.00231656
         449    0.985033    0.971641  0.00231159
         450    0.986865    0.971675   0.0023067
         451    0.988661    0.971713   0.0023019
         452     0.99041    0.971754  0.00229717
         453     0.99211    0.971799  0.00229254
         454    0.993754    0.971847    0.002288
         455    0.995352    0.971899  0.00228356
         456    0.996898    0.971954  0.00227921
         457    0.998376    0.972012  0.00227495
         458    0.999818    0.972072   0.0022708
         459      1.0012    0.972136  0.00226674
         460     1.00252    0.972202  0.00226277
         461     1.00377     0.97227   0.0022589
         462     1.00497    0.972341  0.00225512
         463     1.00614    0.972414  0.00225143
         464     1.00724    0.972489  0.00224783
         465     1.00827    0.972566  0.00224431
         466     1.00921    0.972645  0.00224087
         467      1.0101    0.972725  0.00223751
         468     1.01093    0.972807  0.00223421
         469      1.0117     0.97289  0.00223099
         470     1.01243    0.972974  0.00222783
         471      1.0131    0.973059  0.00222473
         472      1.0137    0.973145  0.00222168
         473     1.01425    0.973232  0.00221868
         474     1.01471    0.973319  0.00221572
         475     1.01515    0.973407  0.00221281
         476      1.0155    0.973496  0.00220993
         477     1.01581    0.973585  0.00220707
         478     1.01604    0.973673  0.00220424
         479     1.01623    0.973762  0.00220143
         480     1.01637    0.973851  0.00219863
         481     1.01643     0.97394  0.00219584
         482     1.01644    0.974028  0.00219306
         483      1.0164    0.974115  0.00219027
         484      1.0163    0.974203  0.00218748
         485     1.01614    0.974289  0.00218468
         486     1.01595    0.974375  0.00218186
         487      1.0157     0.97446  0.00217903
         488     1.01542    0.974544  0.00217618
         489     1.01508    0.974626  0.00217331
         490      1.0147    0.974708  0.00217041
         491     1.01426    0.974789  0.00216749
         492      1.0138    0.974868  0.00216453
         493      1.0133    0.974946  0.00216155
         494     1.01275    0.975023  0.00215852
         495     1.01215    0.975098  0.00215547
         496     1.01152    0.975171  0.00215237
         497     1.01086    0.975243  0.00214924
         498     1.01015    0.975313  0.00214606
         499      1.0094    0.975381  0.00214285
         500     1.00863    0.975448   0.0021396
         501     1.00782    0.975512   0.0021363
         502     1.00699    0.975575  0.00213297
         503     1.00613    0.975636  0.00212959
         504     1.00522    0.975694  0.00212617
         505     1.00429    0.975751  0.00212272
         506     1.00337    0.975806  0.00211922
         507      1.0024    0.975858  0.00211569
         508     1.00142    0.975908  0.00211213
         509     1.00041    0.975957  0.00210853
         510    0.999378    0.976003  0.00210489
         511    0.998296    0.976046  0.00210122
         512    0.997213    0.976087  0.00209753
         513    0.996103    0.976127   0.0020938
         514    0.994972    0.976163  0.00209005
         515    0.993835    0.976197  0.00208627
         516    0.992672    0.976229  0.00208247
         517    0.991465    0.976259  0.00207865
         518    0.990273    0.976286  0.00207482
         519    0.989046    0.976311  0.00207096
         520    0.987822    0.976333   0.0020671
         521    0.986576    0.976352  0.00206323
         522    0.985308    0.976369  0.00205934
         523    0.984038    0.976384  0.00205546
         524    0.982741    0.976396  0.00205157
         525    0.981431    0.976406  0.00204769
         526    0.980121    0.976413  0.00204381
         527      0.9788    0.976417  0.00203993
         528    0.977462    0.976419  0.00203607
         529    0.976119    0.976419  0.00203222
         530     0.97476    0.976416  0.00202839
         531    0.973384     0.97641  0.00202458
         532    0.972007    0.976402  0.00202079
         533    0.970616    0.976391  0.00201703
         534    0.969232    0.976377  0.00201329
         535    0.967836    0.976362  0.00200959
         536    0.966442    0.976343  0.00200593
         537    0.965045    0.976322  0.00200231
         538    0.963633    0.976298  0.00199872
         539    0.962221    0.976272  0.00199518
         540     0.96083    0.976244  0.00199169
         541    0.959428    0.976213  0.00198826
         542    0.958029    0.976179  0.00198487
         543    0.956635    0.976143  0.00198154
         544    0.955267    0.976105  0.00197827
         545    0.953894    0.976064  0.00197506
         546    0.952519    0.976021  0.00197191
         547    0.951161    0.975975  0.00196883
         548    0.949816    0.975928  0.00196582
         549    0.948485    0.975878  0.00196287
         550    0.947176    0.975825     0.00196
         551     0.94587    0.975771  0.00195719
         552    0.944591    0.975715  0.00195446
         553     0.94334    0.975656  0.00195181
         554     0.94209    0.975595  0.00194922
         555    0.940905    0.975533  0.00194671
         556    0.939706    0.975469  0.00194428
         557    0.938549    0.975402  0.00194192
         558    0.937421    0.975334  0.00193963
         559     0.93633    0.975264  0.00193741
         560    0.935259    0.975193  0.00193527
         561    0.934209     0.97512   0.0019332
         562    0.933216    0.975045   0.0019312
         563    0.932245    0.974969  0.00192926
         564    0.931326    0.974892  0.00192739
         565    0.930445    0.974813  0.00192559
         566     0.92961    0.974733  0.00192384
         567    0.928815    0.974652  0.00192215
         568     0.92805     0.97457  0.00192052
         569    0.927352    0.974487  0.00191893
         570     0.92667    0.974403   0.0019174
         571    0.926039    0.974319  0.00191591
         572    0.925444    0.974233  0.00191447
         573    0.924907    0.974147  0.00191306
         574    0.924394    0.974061  0.00191169
         575    0.923945    0.973973  0.00191035
         576    0.923533    0.973886  0.00190904
         577    0.923165    0.973798  0.00190775
         578    0.922852     0.97371  0.00190649
         579    0.922563    0.973621  0.00190524
         580    0.922321    0.973533  0.00190401
         581    0.922112    0.973445  0.00190279
         582    0.921936    0.973356  0.00190158
         583    0.921812    0.973268  0.00190037
         584    0.921726    0.973179  0.00189916
         585    0.921676    0.973091  0.00189796
         586    0.921661    0.973004  0.00189674
         587    0.921685    0.972916  0.00189553
         588    0.921735    0.972829   0.0018943
         589    0.921805    0.972742  0.00189306
         590    0.921916    0.972656  0.00189181
         591    0.922056    0.972571  0.00189055
         592    0.922222    0.972486  0.00188927
         593    0.922413    0.972401  0.00188797
         594    0.922628    0.972317  0.00188665
         595    0.922859    0.972234  0.00188531
         596    0.923118    0.972152  0.00188395
         597    0.923395     0.97207  0.00188256
         598    0.923695    0.971989  0.00188115
         599    0.924024    0.971909  0.00187971
         600    0.924367     0.97183  0.00187825
         601     0.92471    0.971752  0.00187676
         602    0.925052    0.971674  0.00187524
         603    0.925411    0.971597   0.0018737
         604    0.925771    0.971521  0.00187214
         605    0.926144    0.971446  0.00187054
         606    0.926522    0.971372  0.00186892
         607     0.92691    0.971299  0.00186728
         608    0.927293    0.971227  0.00186561
         609    0.927664    0.971155  0.00186392
         610    0.928048    0.971084   0.0018622
         611    0.928432    0.971015  0.00186046
         612    0.928806    0.970946   0.0018587
         613    0.929184    0.970878  0.00185692
         614    0.929557     0.97081  0.00185511
         615    0.929918    0.970744  0.00185329
         616     0.93028    0.970678  0.00185144
         617    0.930635    0.970613  0.00184958
         618     0.93099    0.970549   0.0018477
         619    0.931337    0.970486   0.0018458
         620    0.931676    0.970423  0.00184388
         621    0.931986    0.970361  0.00184195
