#     BLOCK:   ACTUAL_KE:    KE_AVE:      ERROR:
         167     1.19156     1.18715  0.00130842
         168     1.19027     1.18717  0.00130077
         169     1.18895     1.18718  0.00129311
         170     1.18761     1.18718  0.00128551
         171     1.18624     1.18717    0.001278
         172     1.18486     1.18716  0.00127064
         173     1.18347     1.18714  0.00126348
         174     1.18208     1.18711  0.00125655
         175     1.18069     1.18707  0.00124991
         176     1.17932     1.18703  0.00124358
         177     1.17796     1.18698  0.00123761
         178     1.17662     1.18692  0.00123203
         179     1.17531     1.18685  0.00122685
         180     1.17403     1.18678   0.0012221
         181     1.17279     1.18671  0.00121779
         182     1.17161     1.18662  0.00121392
         183     1.17047     1.18653  0.00121049
         184     1.16939     1.18644  0.00120749
         185     1.16838     1.18634   0.0012049
         186     1.16744     1.18624  0.00120271
         187     1.16657     1.18614  0.00120087
         188     1.16578     1.18603  0.00119935
         189     1.16508     1.18592  0.00119812
         190     1.16446      1.1858  0.00119712
         191     1.16394     1.18569  0.00119631
         192     1.16352     1.18557  0.00119564
         193     1.16321     1.18546  0.00119505
         194       1.163     1.18534  0.00119448
         195      1.1629     1.18523  0.00119389
         196     1.16292     1.18511  0.00119321
         197     1.16305       1.185  0.00119239
         198     1.16331     1.18489  0.00119139
         199     1.16368     1.18479  0.00119016
         200     1.16419     1.18468  0.00118866
         201     1.16482     1.18458  0.00118685
         202     1.16558     1.18449   0.0011847
         203     1.16646      1.1844  0.00118219
         204     1.16748     1.18432   0.0011793
         205     1.16863     1.18424  0.00117602
         206     1.16991     1.18417  0.00117237
         207     1.17133     1.18411  0.00116835
         208     1.17287     1.18406  0.00116398
         209     1.17454     1.18401   0.0011593
         210     1.17634     1.18397  0.00115435
         211     1.17827     1.18395   0.0011492
         212     1.18032     1.18393  0.00114391
         213     1.18249     1.18392  0.00113856
         214     1.18479     1.18393  0.00113324
         215     1.18721     1.18394  0.00112808
         216     1.18974     1.18397  0.00112317
         217     1.19239     1.18401  0.00111867
         218     1.19515     1.18406   0.0011147
         219     1.19802     1.18412  0.00111143
         220     1.20099      1.1842  0.00110902
         221     1.20406     1.18429  0.00110764
         222     1.20722     1.18439  0.00110745
         223     1.21047     1.18451  0.00110865
         224     1.21381     1.18464  0.00111139
         225     1.21724     1.18479  0.00111585
         226     1.22074     1.18494  0.00112219
         227     1.22431     1.18512  0.00113057
         228     1.22794     1.18531  0.00114111
         229     1.23164     1.18551  0.00115393
         230      1.2354     1.18572  0.00116912
