#     BLOCK:   ACTUAL_T:     T_AVE:       ERROR:
         168    0.793515    0.791443 0.000867179
         169    0.792635     0.79145 0.000862076
         170    0.791737    0.791452 0.000857007
         171    0.790827    0.791448 0.000852003
         172    0.789906    0.791439 0.000847097
         173    0.788981    0.791425 0.000842319
         174    0.788053    0.791406 0.000837701
         175    0.787129    0.791381 0.000833271
         176    0.786211    0.791352 0.000829054
         177    0.785304    0.791318 0.000825074
         178    0.784411    0.791279 0.000821351
         179    0.783537    0.791236   0.0008179
         180    0.782687    0.791188 0.000814734
         181    0.781863    0.791137  0.00081186
         182    0.781071    0.791081 0.000809281
         183    0.780314    0.791023 0.000806994
         184    0.779596    0.790961 0.000804994
         185    0.778921    0.790895 0.000803269
         186    0.778292    0.790828 0.000801804
         187    0.777713    0.790758 0.000800577
         188    0.777187    0.790685 0.000799566
         189    0.776718    0.790612 0.000798744
         190    0.776308    0.790536  0.00079808
         191    0.775962     0.79046 0.000797541
         192    0.775682    0.790383 0.000797092
         193    0.775472    0.790306 0.000796698
         194    0.775333    0.790229  0.00079632
         195    0.775269    0.790152 0.000795924
         196     0.77528    0.790076 0.000795471
         197    0.775369    0.790001 0.000794929
         198    0.775539    0.789928 0.000794262
         199     0.77579    0.789857 0.000793442
         200    0.776124    0.789789 0.000792441
         201    0.776544    0.789723 0.000791233
         202     0.77705     0.78966 0.000789799
         203    0.777643    0.789601 0.000788124
         204    0.778322    0.789545 0.000786197
         205    0.779089    0.789494 0.000784015
         206    0.779943    0.789448 0.000781579
         207    0.780884    0.789407 0.000778898
         208    0.781912    0.789371 0.000775986
         209    0.783027     0.78934 0.000772866
         210    0.784226    0.789316  0.00076957
         211    0.785511    0.789298 0.000766134
         212    0.786879    0.789286 0.000762605
         213     0.78833    0.789282 0.000759038
         214    0.789862    0.789285 0.000755496
         215    0.791473    0.789295  0.00075205
         216    0.793163    0.789313 0.000748782
         217    0.794928    0.789339 0.000745778
         218    0.796767    0.789373 0.000743135
         219    0.798678    0.789415 0.000740955
         220    0.800658    0.789466 0.000739348
         221    0.802704    0.789526 0.000738425
         222    0.804813    0.789595 0.000738302
         223    0.806982    0.789673 0.000739097
         224    0.809209     0.78976 0.000740925
         225    0.811491    0.789857   0.0007439
         226    0.813824    0.789963  0.00074813
         227    0.816205    0.790078 0.000753713
         228     0.81863    0.790204 0.000760739
         229    0.821095    0.790339 0.000769284
         230    0.823597    0.790483 0.000779411
         231    0.826133    0.790638 0.000791169
         232    0.828699    0.790802 0.000804588
         233    0.831291    0.790975 0.000819686
         234    0.833905    0.791159 0.000836462
         235    0.836537    0.791352   0.0008549
         236    0.839184    0.791555 0.000874973
         237    0.841841    0.791767  0.00089664
         238    0.844506    0.791988 0.000919846
         239    0.847172    0.792219 0.000944532
         240    0.849838    0.792459 0.000970628
         241    0.852498    0.792708 0.000998059
         242     0.85515    0.792967  0.00102675
         243    0.857789    0.793233  0.00105661
         244    0.860411    0.793509  0.00108755
         245    0.863014    0.793792  0.00111951
         246    0.865595    0.794084  0.00115238
         247     0.86815    0.794384  0.00118608
         248    0.870675    0.794692  0.00122054
         249    0.873166    0.795007  0.00125567
         250    0.875621    0.795329  0.00129139
         251    0.878035    0.795659  0.00132761
         252    0.880406    0.795995  0.00136428
         253     0.88273    0.796338  0.00140129
         254    0.885003    0.796687   0.0014386
         255    0.887225    0.797042  0.00147612
         256    0.889391    0.797403  0.00151379
         257    0.891499    0.797769  0.00155155
         258    0.893547     0.79814  0.00158933
         259    0.895531    0.798516  0.00162706
         260     0.89745    0.798897  0.00166471
         261      0.8993    0.799281   0.0017022
         262    0.901081     0.79967  0.00173948
         263     0.90279    0.800062  0.00177651
         264    0.904426    0.800457  0.00181323
         265    0.905986    0.800856   0.0018496
         266    0.907468    0.801256  0.00188557
         267    0.908871    0.801659   0.0019211
         268    0.910195    0.802064  0.00195616
         269    0.911439    0.802471  0.00199069
         270      0.9126    0.802879  0.00202467
         271    0.913678    0.803288  0.00205807
         272    0.914672    0.803697  0.00209085
         273    0.915582    0.804107  0.00212297
         274    0.916405    0.804517  0.00215442
         275    0.917142    0.804926  0.00218517
         276    0.917791    0.805335  0.00221519
         277    0.918355    0.805743  0.00224445
         278    0.918832     0.80615  0.00227294
         279    0.919223    0.806555  0.00230064
         280    0.919527    0.806959  0.00232754
         281    0.919744     0.80736  0.00235361
         282    0.919875    0.807759  0.00237884
         283    0.919921    0.808156  0.00240322
         284    0.919881    0.808549  0.00242674
         285    0.919757    0.808939   0.0024494
         286    0.919549    0.809326  0.00247118
         287    0.919259    0.809709  0.00249208
         288    0.918887    0.810088  0.00251209
         289    0.918435    0.810463  0.00253122
         290    0.917902    0.810833  0.00254946
         291    0.917292    0.811199  0.00256681
         292    0.916607     0.81156  0.00258328
         293    0.915846    0.811916  0.00259887
         294    0.915012    0.812267  0.00261358
         295    0.914105    0.812612  0.00262742
         296    0.913128    0.812952   0.0026404
         297    0.912083    0.813285  0.00265252
         298     0.91097    0.813613   0.0026638
         299    0.909791    0.813935  0.00267424
         300    0.908549     0.81425  0.00268386
         301    0.907243    0.814559  0.00269266
         302    0.905876    0.814862  0.00270067
         303    0.904449    0.815157  0.00270789
         304    0.902964    0.815446  0.00271435
         305    0.901422    0.815728  0.00272005
         306    0.899826    0.816003  0.00272501
         307    0.898178    0.816271  0.00272924
         308     0.89648    0.816531  0.00273278
         309    0.894733    0.816784  0.00273563
         310    0.892941     0.81703  0.00273781
         311    0.891105    0.817268  0.00273935
         312    0.889226    0.817498  0.00274026
         313    0.887308    0.817722  0.00274057
         314    0.885353    0.817937  0.00274029
         315    0.883361    0.818145  0.00273945
         316    0.881335    0.818345  0.00273807
         317    0.879278    0.818537  0.00273617
         318     0.87719    0.818721  0.00273378
         319    0.875075    0.818898  0.00273091
         320    0.872935    0.819067  0.00272759
         321    0.870772    0.819228  0.00272385
         322    0.868588    0.819381   0.0027197
         323    0.866386    0.819527  0.00271517
         324    0.864165    0.819664  0.00271028
