   0.0323165           0
   0.0969496           0
    0.161583           0
    0.226216           0
    0.290849           0
    0.355482           0
    0.420115           0
    0.484748           0
    0.549381           0
    0.614014           0
    0.678647           0
     0.74328           0
    0.807913           0
    0.872546   0.0209539
    0.937179     2.83833
     1.00181     19.5043
     1.06645     36.0195
     1.13108     39.1621
     1.19571     36.9341
     1.26034     32.3333
     1.32498     29.4003
     1.38961     26.5989
     1.45424     24.0795
     1.51888     23.0591
     1.58351     21.9458
     1.64814     21.7672
     1.71278     21.3735
     1.77741     21.1895
     1.84204     21.6161
     1.90667     21.2771
     1.97131     21.1089
     2.03594     20.7096
     2.10057     20.8366
     2.16521     21.3427
     2.22984     20.8633
     2.29447     21.2861
     2.35911     20.6197
     2.42374     20.7259
     2.48837     20.6718
     2.55301      20.081
     2.61764     19.8323
     2.68227     19.7378
      2.7469     19.7232
     2.81154     19.5077
     2.87617     19.8919
      2.9408     19.6974
     3.00544     20.1388
     3.07007     19.7503
      3.1347      19.737
     3.19934     19.2187
     3.26397     19.5061
      3.3286     19.7298
     3.39323      19.549
     3.45787     19.5938
      3.5225      19.722
     3.58713     19.6373
     3.65177     19.9306
      3.7164     19.8667
     3.78103     19.9732
     3.84567     19.7775
      3.9103     19.4737
     3.97493     19.5998
     4.03957     19.3829
      4.1042     19.5377
     4.16883     19.6035
     4.23346     19.7332
      4.2981     19.6966
     4.36273     19.5805
     4.42736     19.6954
       4.492     19.5921
     4.55663     19.5301
     4.62126     19.8542
      4.6859     19.5619
     4.75053     19.5512
     4.81516      19.379
     4.87979     19.7634
     4.94443     20.2779
     5.00906     19.9639
     5.07369     19.8139
     5.13833     20.0047
     5.20296     20.1102
     5.26759      20.027
     5.33223     20.1007
     5.39686     19.9207
     5.46149     20.0731
     5.52612       20.04
     5.59076     20.0698
     5.65539     19.8939
     5.72002     19.9974
     5.78466     20.0025
     5.84929     20.0143
     5.91392     19.9265
     5.97856     19.9801
     6.04319     20.0463
     6.10782     19.9028
     6.17246     19.9148
     6.23709     19.9522
     6.30172     20.2685
     6.36635     20.0653
     6.43099     19.9524
